date,date_dt,n_runs,n_eligible,best_standardised_loss,median_standardised_loss,best_run,n_steps_tested,changes_from_previous_day,varied_within_day,mode_input_dir,mode_n_steps,mode_n_time,mode_n_eval,mode_lr,mode_lr_scheduler,mode_lr_min,mode_model_arch,mode_hidden_width,mode_hidden_layers,mode_fourier_num_features,mode_fourier_scale,mode_fourier_include_raw_input,mode_weight_factorization,mode_rwf_mu,mode_rwf_sigma,mode_rwf_apply_to,mode_rwf_base_init,mode_residual_form,mode_state_parameterization,mode_pde_penalty,mode_boundary_loss_form,mode_bc_penalty,mode_loss_weighting,mode_time_sampling,mode_causal_loss,mode_causal_curriculum,mode_causal_epsilon,mode_causal_n_chunks,mode_collocation_strategy,mode_lambda_pde,mode_lambda_ic,mode_lambda_bc,mode_lambda_timestep,mode_seed,cumulative_best_loss
2026-06-05,2026-06-05,11,5,0.0293231720830593,0.348109473797299,20260605_140023,"1.0e+04, 4.0e+04",n_time 20→10,"steps: 1.0e+04, 4.0e+04; curriculum: linear, off; collocation: causal-r3, r3",validation/fixtures/pde_single_species,40000.0,10.0,30.0,0.0003,,,,64.0,3.0,,,,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0228063474496899
2026-06-08,2026-06-08,7,7,0.0195118343986836,0.1169886505250512,20260608_174152,2.0e+04,steps 4.0e+04→2.0e+04; n_time 10→15; width 64→128; layers 3→5,"width: 128, 256, 64; layers: 128, 3, 4, 5",validation/fixtures/pde_single_species,20000.0,15.0,30.0,0.0003,,,,128.0,5.0,,,,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0195118343986836
2026-06-09,2026-06-09,8,8,0.0026042293230044,0.0495804686148595,20260609_154251,"2.0e+04, 5.0e+04",n_time 15→30; width 128→256,"steps: 2.0e+04, 5.0e+04; n_time: 10, 15, 30; LR: 0.003, 3.0e-04; minimum LR: 0, 3.0e-05; architecture: fourier, mlp; width: 128, 256, 64; +5 more",validation/fixtures/pde_single_species,20000.0,30.0,30.0,0.0003,cosine,0.0,mlp,256.0,5.0,64.0,1.0,True,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0026042293230044
2026-06-10,2026-06-10,3,3,0.0065423999228698,0.0074140753169936,20260610_085310,2.0e+04,architecture mlp→fourier; Fourier features 64→32; Fourier scale 1→0.5,none,validation/fixtures/pde_single_species,20000.0,30.0,30.0,0.0003,,0.0,fourier,256.0,5.0,32.0,0.5,True,rwf,1.0,0.1,all,pytorch,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0026042293230044
2026-06-11,2026-06-11,4,4,0.0024129951324079,0.0133121192065253,20260611_103257,"2.0e+04, 4.0e+04",steps 2.0e+04→4.0e+04; RWF initialisation pytorch→xavier_uniform,"steps: 2.0e+04, 4.0e+04; n_time: 30, 32; minimum LR: 0, 1.0e-06; Fourier features: 32, 64; Fourier scale: 0.5, 1; raw input: off, on; +4 more",validation/fixtures/pde_single_species,40000.0,30.0,30.0,0.0003,cosine,0.0,fourier,256.0,5.0,32.0,0.5,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,uniform,off,linear,1.0,32.0,r3,1.0,1.0,1.0,0.0,123.0,0.0024129951324079
2026-06-12,2026-06-12,2,2,0.004013363640295,0.0211072666929618,20260612_140602,4.0e+04,n_time 30→36; minimum LR 0→1.0e-06; Fourier features 32→64; Fourier scale 0.5→1; raw input on→off; time sampling uniform→stratified; +2 more,"Fourier features: 32, 64",validation/fixtures/pde_single_species,40000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,256.0,5.0,64.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0024129951324079
2026-06-15,2026-06-15,6,0,,,,"1.0e+04, 5000",steps 4.0e+04→5000; LR 3.0e-04→0.03; layers 5→4,"steps: 1.0e+04, 5000; LR: 0.003, 0.03, 3.0e-04; Fourier features: 32, 64",validation/fixtures/pde_single_species,5000.0,36.0,30.0,0.03,cosine,1e-06,fourier,256.0,4.0,64.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,
2026-06-16,2026-06-16,43,25,0.0010918561658378,0.001724019886792,20260616_131555_657166_job3036363_task8,"1.0e+04, 3.0e+04, 5, 8000",steps 5000→3.0e+04; LR 0.03→3.0e-04; layers 4→5; Fourier features 64→32,"steps: 1.0e+04, 3.0e+04, 5, 8000; n_time: 10, 36; LR: 0.001, 3.0e-04; minimum LR: 0, 1.0e-06; architecture: fourier, mlp; width: 128, 256, 384, 64; +11 more",validation/fixtures/pde_single_species,30000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,256.0,5.0,32.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
2026-06-17,2026-06-17,2,2,0.0170974567641284,0.0170974567641284,20260617_162319_376006_job3042892,7.5e+04,steps 3.0e+04→7.5e+04; width 256→324,none,validation/fixtures/pde_single_species,75000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,324.0,5.0,32.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
2026-06-18,2026-06-18,3,0,,,,1.0e+04,steps 7.5e+04→1.0e+04; width 324→384,"LR: 0.003, 3.0e-04; width: 256, 384; layers: 4, 5; Fourier features: 32, 64; causal loss: expert, off; collocation: fixed-grid, uniform",validation/fixtures/pde_single_species,10000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,32.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,
2026-06-19,2026-06-19,2,2,0.0145040523684948,0.0145040523684948,20260619_190111_738826_job3070869,1.5e+05,steps 1.0e+04→1.5e+05; n_time 36→128; n_eval 30→60; raw input off→on; causal epsilon 1→10; causal chunks 32→64,none,validation/fixtures/pde_single_species,150000.0,128.0,60.0,0.0003,cosine,1e-06,fourier,384.0,5.0,32.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,10.0,64.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
2026-06-22,2026-06-22,8,6,0.0113922586652529,0.0163354205175277,20260622_124154_193026_job3093744_task16,"1.3e+05, 1.5e+05",n_time 128→36; n_eval 60→30; Fourier features 32→16; causal epsilon 10→1; causal chunks 64→32,"steps: 1.3e+05, 1.5e+05; n_time: 128, 32, 36; n_eval: 30, 60; causal epsilon: 0.05, 1; causal chunks: 128, 32",validation/fixtures/pde_single_species,150000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,16.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
2026-06-23,2026-06-23,6,6,0.0020826123705886,0.0022304345258961,20260623_115925_577109_job3101351_task16,1.5e+05,none,"n_time: 32, 36; causal epsilon: 0.05, 1; causal chunks: 128, 32",validation/fixtures/pde_single_species,150000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,16.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
2026-06-24,2026-06-24,6,6,0.001049271678203,0.0013246048669107,20260624_173838_345608_job3107266_task16,1.5e+05,none,"n_time: 32, 36; causal epsilon: 0.05, 1; causal chunks: 128, 32",validation/fixtures/pde_single_species,150000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,16.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.001049271678203
2026-06-25,2026-06-25,1,0,,,,,none,none,validation/fixtures/pde_single_species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
