step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc,loss_weighted,loss_unweighted,boundary_loss_form,bc_eps,frac_flux_left_clamped,frac_recruitment_flux_clamped,flux_left_min,recruitment_flux_min,boundary_residual_abs_p95,boundary_residual_abs_max,weight_update_hard_set
1,9.546744014608675,0.8128941639211668,9.535857517093286,2757.555876177531,2.600671917415874,0.8302322839663374,0.8392662609064303,1.1960079363332659,2.4860666782918622e-05,3.4270955877209084,0.187059572329123,0.19047080906247307,1026056.347815476,1122603.4224403647,2.2361012001056224,0.01,1.0,1e-06,0.008128941639211667,9.535857517093286,0.0027575558761775308,,,,,,9.546744014608675,2767.9046278585456,log,1e-12,1.0,0.0,0.0,61689141334.47659,52.54301477812653,52.54538495338926,0.0
2,9.517164024309976,0.6874003097257968,9.507532733210423,2757.288002295284,2.585780809803262,0.7154987419084284,0.7496973122828821,1.1945445609232104,3.244524009148042e-06,3.7029278908626493,0.187059572329123,0.19054404051220306,1035948.8776307057,1115141.3474971456,2.9126405001152307,0.01,1.0,1e-06,0.006874003097257968,9.507532733210423,0.002757288002295284,,,,,,9.517164024309976,2767.48293533822,log,1e-12,1.0,0.0,0.0,61534516330.32949,52.5359649531577,52.537542862123786,0.0
3,9.489944281492333,0.7826865048816375,9.479360969613499,2756.4468300187536,2.573633815493433,0.8222164579183282,0.8222164579183282,1.1943824745193767,0.0,3.4703261607934572,0.187059572329123,0.19066821706420328,1025432.869974712,1115679.906044899,2.9766931000631303,0.01,1.0,1e-06,0.007826865048816375,9.479360969613499,0.0027564468300187535,,,,,,9.489944281492333,2766.7088774932486,log,1e-12,1.0,0.0,0.0,60881853495.026184,52.52011069326708,52.52466680880334,0.0
4,9.462350266458786,0.82624023163771,9.451332374751383,2755.489391026583,2.5637855795200117,0.8385483039944711,0.8474657268688197,1.1933540400413252,2.284493286441522e-05,3.7316246795494994,0.187059572329123,0.19037597680382334,1027529.3189123492,1124027.0453817048,3.035454299999401,0.01,1.0,1e-06,0.0082624023163771,9.451332374751383,0.0027554893910265825,,,,,,9.462350266458786,2765.766963632972,log,1e-12,1.0,0.0,0.0,60997803889.10202,52.5129463075309,52.5174149006371,0.0
5,9.434752950849102,0.8570984156406055,9.423428484292813,2753.4823998826296,2.556934927410468,0.8611120997207674,0.8765023838388746,1.1924995317079268,0.0,3.554934099571886,0.187059572329123,0.1906702156856871,1012369.070778578,1130060.5713779023,3.095331800170243,0.01,1.0,1e-06,0.008570984156406055,9.423428484292813,0.0027534823998826294,,,,,,9.434752950849102,2763.7629267825628,log,1e-12,1.0,0.0,0.0,60198189540.24126,52.50408584592946,52.50814340660503,0.0
6,9.406569440512477,0.8193053204194822,9.395623390092942,2752.997215340328,2.5532461878244663,0.843152659892473,0.8513734009941605,1.1904921753752267,0.0,3.7337735122305404,0.187059572329123,0.19063459842561853,1009562.4342636067,1132884.8732652366,3.153112400090322,0.01,1.0,1e-06,0.008193053204194823,9.395623390092942,0.0027529972153403277,,,,,,9.406569440512477,2763.2121440508404,log,1e-12,1.0,0.0,0.0,60074608910.2046,52.495020592858864,52.49693268644082,0.0
7,9.37881286428324,0.8176120130957839,9.367884089765637,2752.6543866458433,2.5529131846103064,0.8542691650697926,0.8579932330548445,1.1891763749344957,4.1291536102064375e-05,3.7157748964743846,0.187059572329123,0.19019180753673312,998145.4584199443,1139364.3952369743,3.213054200168699,0.01,1.0,1e-06,0.008176120130957839,9.367884089765637,0.002752654386645843,,,,,,9.37881286428324,2762.839882748705,log,1e-12,1.0,0.0,0.0,59415762068.33774,52.48871086936759,52.488733389361045,0.0
8,9.350891158214436,0.796786168803053,9.340171587801732,2751.7087246739475,2.5558661064971235,0.8113434403632084,0.829699607493837,1.1896016688198017,2.61916502525307e-05,3.621805693525462,0.187059572329123,0.19022288987319702,992244.076348051,1144168.2713989543,3.2695933000650257,0.01,1.0,1e-06,0.00796786168803053,9.340171587801732,0.0027517087246739474,,,,,,9.350891158214436,2761.845682430552,log,1e-12,1.0,0.0,0.0,59073796176.08895,52.47662827872591,52.47878709905841,0.0
9,9.323474852031937,0.8280184665415768,9.312443481631252,2751.185735268353,2.5626802375474917,0.845872636328975,0.85830506062801,1.1885765466205038,7.141553292157321e-06,3.504230647351792,0.187059572329123,0.1902715115650085,986255.7307586017,1148871.7254791323,3.325734000187367,0.01,1.0,1e-06,0.008280184665415769,9.312443481631252,0.002751185735268353,,,,,,9.323474852031937,2761.3261972165255,log,1e-12,1.0,0.0,0.0,58753266939.28808,52.4685691996221,52.46865586285975,0.0
10,9.295659354772825,0.8252779587041438,9.284656412980562,2750.1622052228527,2.5728193581759427,0.832347424545753,0.8526630759564092,1.1863096967372697,0.00027009183573335066,3.6339810898434766,0.187059572329123,0.18929298192037405,982022.0883759109,1150095.6573768791,3.384290400194004,0.01,1.0,1e-06,0.008252779587041438,9.284656412980562,0.0027501622052228526,,,,,,9.295659354772825,2760.2721395945373,log,1e-12,1.0,0.0,0.0,58563776589.35505,52.455149109354615,52.45872685702575,0.0
11,9.267485677965762,0.7968195049612257,9.256768365954557,2749.1169615946174,2.586351418535974,0.794019711165989,0.8182935057816858,1.1862689988579147,0.0003999772375276184,3.7339188079254244,0.187059572329123,0.18892022749742327,976290.3913515083,1141383.9098781578,3.446530899964273,0.01,1.0,1e-06,0.007968195049612256,9.256768365954557,0.002749116961594617,,,,,,9.267485677965762,2759.170549465533,log,1e-12,1.0,0.0,0.0,58300544590.8401,52.441946591574805,52.44202040828082,0.0
12,9.239926847682002,0.8439776654404476,9.228739293241377,2747.7777862199773,2.6030514114669647,0.8403206666128724,0.8564996252856437,1.1854243353004388,0.0,3.5992123054685132,0.187059572329123,0.1903768998272465,967842.3937571031,1147563.141311054,3.5081615999806672,0.01,1.0,1e-06,0.008439776654404476,9.228739293241377,0.002747777786219977,,,,,,9.239926847682002,2757.850503178659,log,1e-12,1.0,0.0,0.0,57807582464.72371,52.42673681951004,52.429383070927116,0.0
13,9.212252915419493,0.8974605030896416,9.200531099442443,2747.210946153056,2.622811858667851,0.8933113059769392,0.9033444763671887,1.1843428232053081,2.761969340504475e-05,3.725396171333312,0.187059572329123,0.19003799983300038,960445.9670316227,1163195.6004851765,3.5636196001432836,0.01,1.0,1e-06,0.008974605030896417,9.200531099442443,0.0027472109461530556,,,,,,9.212252915419493,2757.308937755588,log,1e-12,1.0,0.0,0.0,57269594424.10884,52.42499851825144,52.42574276475905,0.0
14,9.1823759757988,0.7522409720693535,9.172107147419956,2746.4186581512977,2.645292203696757,0.8000659768263727,0.807244257763832,1.1823347885333515,1.4994399034802541e-06,3.6708616869599413,0.187059572329123,0.19011945855487516,950694.9005092479,1172194.156374738,3.6214676001109183,0.01,1.0,1e-06,0.007522409720693535,9.172107147419956,0.0027464186581512974,,,,,,9.1823759757988,2756.343006270787,log,1e-12,1.0,0.0,0.0,56999005774.49083,52.41586436207532,52.41730703853056,0.0
15,9.154111930200678,0.7934722546862437,9.143431815927892,2745.3917259243535,2.6707664543135987,0.8444572760930484,0.8444572760930484,1.1827657766828925,0.0,3.733601799557752,0.187059572329123,0.19023213837384764,947745.586209155,1180954.9861598234,3.6855510000605136,0.01,1.0,1e-06,0.007934722546862437,9.143431815927892,0.0027453917259243534,,,,,,9.154111930200678,2755.3286299949677,log,1e-12,1.0,0.0,0.0,56507308077.68869,52.406468609841156,52.40834748591313,0.0
16,9.125030996544242,0.781689516916194,9.11446976121961,2744.3401554693046,2.6986302863024245,0.8128927927349894,0.8268376012625394,1.180384923006541,0.00027204215963243933,3.668360002123,0.187059572329123,0.18914026970641823,937604.8211268451,1175919.9138899276,3.740403600037098,0.01,1.0,1e-06,0.00781689516916194,9.11446976121961,0.0027443401554693046,,,,,,9.125030996544242,2754.2363147474402,log,1e-12,1.0,0.0,0.0,56146824615.73623,52.394528854037006,52.39660481991653,0.0
17,9.096045215112774,0.8115587883511388,9.085185956134922,2743.671094341882,2.729137158984901,0.8158199745205235,0.8341313451842156,1.1776772260027648,0.0005396576959112442,3.728292902783424,0.187059572329123,0.1885398751169386,929095.6721326802,1180750.7861626504,3.7949962001293898,0.01,1.0,1e-06,0.008115587883511388,9.085185956134922,0.002743671094341882,,,,,,9.096045215112774,2753.567839086368,log,1e-12,1.0,0.0,0.0,55712577428.49274,52.388309463041,52.388775874734925,0.0
18,9.066393324936051,0.8105368051192233,9.055545320093534,2742.6367913248678,2.7620183122570268,0.8413461565480723,0.8432717953816974,1.1789600509733433,0.0,3.659486238880893,0.187059572329123,0.19010619711351626,919692.9810280835,1199236.2813016328,3.8542482000775635,0.01,1.0,1e-06,0.008105368051192233,9.055545320093534,0.0027426367913248677,,,,,,9.066393324936051,2752.5028734500806,log,1e-12,1.0,0.0,0.0,55276117753.528656,52.3764127217141,52.3775374653977,0.0
19,9.035276160256982,0.7021698131359363,9.025512812551769,2741.649573854564,2.7968115938114666,0.72904444192414,0.7487922142789389,1.1771493248369185,0.0,3.733621951023139,0.187059572329123,0.1899664771677446,911610.8341871884,1205511.507919726,3.9129864000715315,0.01,1.0,1e-06,0.007021698131359363,9.025512812551769,0.0027416495738545638,,,,,,9.035276160256982,2751.3772564802516,log,1e-12,1.0,0.0,0.0,54802806832.05263,52.36561766929535,52.367385777555185,0.0
20,9.00601383114713,0.821957698737368,8.995053676194606,2740.577965148381,2.834269272593373,0.829742197557913,0.8512100906987158,1.1772011780278595,0.00015842306269885087,3.696156165753595,0.187059572329123,0.18936565859063656,902018.5539506573,1200896.18432168,3.990936700021848,0.01,1.0,1e-06,0.00821957698737368,8.995053676194606,0.0027405779651483806,,,,,,9.00601383114713,2750.394976523313,log,1e-12,1.0,0.0,0.0,54306271628.39678,52.3529864019091,52.354412269703715,0.0
21,8.974151459985446,0.7278819783123296,8.964132889286628,2739.7509156966094,2.8734995358115696,0.7609606161027387,0.7880824955027681,1.1754330382695952,0.0,3.7337964956166725,0.187059572329123,0.1899973841189404,892217.1540923394,1220528.235985391,4.049344500061125,0.01,1.0,1e-06,0.007278819783123296,8.964132889286628,0.0027397509156966092,,,,,,8.974151459985446,2749.4429305642084,log,1e-12,1.0,0.0,0.0,53791025119.92069,52.34567191203564,52.34610421032602,0.0
22,8.943576218876059,0.8121750431053647,8.932715806530858,2738.6619141467945,2.9150193528861683,0.8311604706184846,0.840107015314762,1.1753210781472387,0.0,3.730216086155915,0.187059572329123,0.19005506426158414,879971.5569195553,1219558.8816173917,4.106263600056991,0.01,1.0,1e-06,0.008121750431053646,8.932715806530858,0.0027386619141467946,,,,,,8.943576218876059,2748.4068049964308,log,1e-12,1.0,0.0,0.0,53259022223.41521,52.336713755844755,52.336962530229364,0.0
23,8.911750798624249,0.824550982547818,8.900767774785614,2737.514013156916,2.9587989137044333,0.8366712853032062,0.8537060146604105,1.174379669983411,0.0,3.6103708574101927,0.187059572329123,0.18996001773784665,872560.8165957035,1224877.9821171293,4.192019700072706,0.01,1.0,1e-06,0.00824550982547818,8.900767774785614,0.002737514013156916,,,,,,8.911750798624249,2747.2393319142493,log,1e-12,1.0,0.0,0.0,52719979759.41444,52.32893003021505,52.329909722786184,0.0
24,8.878163039780429,0.7172238736987471,8.868254215632486,2736.5854109535494,3.003973735670972,0.7846706683661367,0.7849274592865215,1.1730047645737247,0.0,3.6729834925274667,0.187059572329123,0.1899384335366848,867930.7387561348,1238398.909266345,4.248372300062329,0.01,1.0,1e-06,0.007172238736987471,8.868254215632486,0.002736585410953549,,,,,,8.878163039780429,2746.170889042881,log,1e-12,1.0,0.0,0.0,52157261373.926125,52.320959722951784,52.32108905746156,0.0
25,8.845444937703856,0.7568401539015881,8.835141261365642,2735.2747991979795,3.0513555940443995,0.771438173496836,0.8046294679708159,1.1700083261787073,2.7342653282518004e-05,3.691039808004602,0.187059572329123,0.18967139135505018,849832.963000507,1245701.0766787913,4.302248900057748,0.01,1.0,1e-06,0.007568401539015881,8.835141261365642,0.0027352747991979793,,,,,,8.845444937703856,2744.8667806132466,log,1e-12,1.0,0.0,0.0,51593436398.716354,52.30481535173647,52.30493134521342,0.0
26,8.811007598750965,0.6877731903872181,8.801395153478916,2734.713368176921,3.100408454152676,0.7527960038854389,0.756902996532696,1.170405153882288,0.0,3.7245421687860443,0.187059572329123,0.18990705687266946,844181.1561837815,1258774.0736803357,4.352840600069612,0.01,1.0,1e-06,0.006877731903872181,8.801395153478916,0.002734713368176921,,,,,,8.811007598750965,2744.202536520787,log,1e-12,1.0,0.0,0.0,51019072743.00792,52.30330911640798,52.30405666286357,0.0
