step,loss_pde,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed
1,0.6726152087615594,0.13316948257241956,0.6659509975265551,0.702819266266512,1.19458299226106,8.499184107874092e-05,3.6781085099258375,0.187059572329123,0.1870595747226204,0.8488760999615647,0.8771235953500192,2.1743945999769494
2,0.8567823109513969,0.18271410271570365,0.8282131204979999,0.872876812082045,1.1797152366028705,8.849501293824863e-05,3.700427229186189,0.187059572329123,0.18705957457492292,0.7932157749374101,0.8851004502285506,2.2075512999435887
3,0.7618384516354867,0.15660227150351563,0.7801439578994052,0.8027209899228319,1.1827566478782507,0.0001813749392962291,3.5493031374808717,0.187059572329123,0.1870595742071017,0.7418782256212151,0.8950502244336663,2.238073999993503
4,0.909068622670771,0.19923479888973997,0.8664552025031624,0.8968531051816959,1.1771475350380884,0.00019699622413778956,2.834438268636639,0.187059572329123,0.1870595740489964,0.68699739882083,0.8979752969039441,2.2692862999392673
5,0.7868355076712686,0.1679563999330909,0.8055115482683674,0.8055115482683674,1.170924007080119,1.3667144208199394e-05,3.725103630183824,0.187059572329123,0.1870595744250418,0.6403124783298506,0.9225730260737799,2.2991003999486566
6,0.6159643032125092,0.1517173037436613,0.7119172195864799,0.7119172195864799,1.1604904609068325,8.571149027931241e-05,2.1719381055563933,0.187059572329123,0.18705957410353097,0.5922584077628424,0.9306469928505529,2.330234900000505
7,0.6321052747170537,0.17724023304847142,0.7213429579191832,0.7213429579191832,1.1558375551364568,4.17868952846609e-06,3.441174595704747,0.187059572329123,0.18705957419160388,0.5466148279147854,0.9527010132872274,2.3617509000469
8,0.6552191263517804,0.1832866141749672,0.6989267567562902,0.7231510452895507,1.1366381076100762,8.754114995192935e-05,3.7298475352387968,0.187059572329123,0.18705957383530736,0.5029048635401954,0.941221208821184,2.393305700039491
9,0.6668182882566914,0.2218438361347763,0.6842339088441349,0.7299694352284305,1.1424757802662922,0.0001677382396869237,3.24217211202335,0.187059572329123,0.18705957361345707,0.4576472288902519,0.9804122640371715,2.423185999970883
10,0.6413470854955469,0.24535904969711453,0.7068601720932126,0.7200695657895704,1.1283302402508015,0.00031066255144764077,2.0360771174945134,0.187059572329123,0.18705957329773476,0.43792455006129727,0.9802914149683383,2.4532004999928176
11,0.8654930741053609,0.33633732490595947,0.8997867559446076,0.8997867559446076,1.123140402607314,1.404324695170392e-05,1.9619191757980223,0.187059572329123,0.18705957364848722,0.38027423318273024,1.0346742461282195,2.485524900024757
12,0.5960807645797535,0.22983151891744008,0.6668961021087715,0.6958505771103449,1.112953646996982,0.0002973156166118651,3.2046562603107085,0.187059572329123,0.18705957314239346,0.3378426623684655,1.0269019902796575,2.5159750999882817
13,0.6734819475007757,0.32699599902951715,0.7578495442521034,0.7690085671928721,1.1031563894365732,0.000265385551641302,3.684883698915344,0.187059572329123,0.18705957309757867,0.3059947736765557,1.0678318015819335,2.5446749000111595
14,0.6540333038859705,0.3331135660023603,0.7212746524366259,0.7339165757693679,1.092410311363294,0.0007414808170915776,2.000537134700357,0.187059572329123,0.18705957272851045,0.26272534965296657,1.092129966806795,2.572421699995175
15,0.6119280582394462,0.29678620962506547,0.6418362745455791,0.6978852950826909,1.0740296427244969,2.5811028051204304e-05,3.7286177482430545,0.187059572329123,0.1870595732063345,0.23991833317215616,1.243827848132389,2.6023000000277534
16,0.5810381948831391,0.3586204728560409,0.6425261012665477,0.6924025156452587,1.0650007320248798,0.00017767666955643274,3.5073638163682332,0.187059572329123,0.18705957296609532,0.2034964349227927,1.285939438828229,2.6343416000017896
17,0.49449116062525417,0.3144043345812695,0.6260553915797605,0.6451724810098041,1.050583725472308,5.561391907491636e-05,3.659462491752951,0.187059572329123,0.18705957295443318,0.17550809349215216,1.3097077471754386,2.663472899934277
18,0.6154893167862143,0.40656690730518763,0.7304795581375608,0.7304795581375608,1.032968409849897,1.654028064719884e-05,3.2390246316095417,0.187059572329123,0.18705957285987423,0.15712999821170337,1.2358945482945898,2.692439000005834
19,0.5385097833084526,0.4419883494811543,0.6601457636957981,0.6609436946416184,1.021880739346103,0.000162629723454967,3.733590693806579,0.187059572329123,0.1870595727110893,0.13191109641701942,1.3025612380438305,2.722555899992585
20,0.5052041388117136,0.4346902865581196,0.6371556931386487,0.6642046883801025,0.9984849007828993,9.346458312840117e-05,3.6909325354325007,0.187059572329123,0.1870595727342904,0.11703429090300224,1.6876323117675331,2.750880099949427
21,0.520486106429009,0.4541732044194443,0.6538249178113891,0.6834543721882131,0.98336239157142,5.034799911159821e-05,3.4862933944836145,0.187059572329123,0.18705957271699844,0.10818598335085199,1.982283179472342,2.77964520000387
22,0.5358164374163868,0.5797112634861474,0.6717679617870721,0.6790453744303471,0.9694519181959884,3.997462816532696e-05,2.212671524479117,0.187059572329123,0.18705957265321943,0.08230748495935038,2.106883977967335,2.811096900026314
23,0.43339902439234446,0.5894025770484849,0.599448474524471,0.599448474524471,0.9613297214384767,0.0,3.4196357668849595,0.187059572329123,0.1870595726474505,0.06838243231344235,2.5266816440729114,2.8406746999826282
24,0.447834953508284,0.4947897121267611,0.5967902397868242,0.5967902397868242,0.9525548598504323,0.0,3.7334731108940646,0.187059572329123,0.1870595725616458,0.059414731742286245,2.345912551731392,2.870373700046912
25,0.3262123738484744,0.509979627600606,0.5157119652072281,0.5293251504293581,0.9374711346289974,0.0004632016740194547,3.5640026993782503,0.187059572329123,0.18705957244723076,0.04959324274890888,2.804210511853459,2.901023400016129
26,0.3616966332534899,0.6496810642585021,0.5755921849014648,0.5755921849014648,0.9208161847730957,0.0005415061805940993,3.256810087579606,0.187059572329123,0.1870595724168814,0.04318718677496087,3.0032533606583964,2.9322822999674827
27,0.35030148208089396,0.5819271825990159,0.5543035574635563,0.5543035574635563,0.9513364469440676,2.957551378356474e-05,3.5917714122423527,0.187059572329123,0.18705957247415542,0.03580116241272513,4.34882516014553,2.961891800048761
28,0.26328654162392867,0.5182958732353664,0.4648439946360757,0.4648439946360757,0.9512019731675475,0.0,3.1414452687165264,0.187059572329123,0.18705957247110847,0.029527551569924638,5.83522784668962,2.9909849000396207
