step,fixed_loss,fixed_loss_pde,fixed_loss_ic,fixed_loss_bc,fixed_residual_log_rms,fixed_residual_log_abs_mean,fixed_residual_log_abs_p95,fixed_residual_log_abs_max,rms_dlogN_dt,rms_advective,rms_mu,rms_dg_dw,log_N_eval_min,log_N_eval_max,N_eval_min,N_eval_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,dg_dw_min,dg_dw_max,fixed_loss_unweighted,fixed_w_pde,fixed_w_ic,fixed_w_bc,fixed_weighted_loss_pde,fixed_weighted_loss_ic,fixed_weighted_loss_bc,fixed_loss_weighted,bc_eps,flux_left_min,flux_left_max,recruitment_flux_min,recruitment_flux_max,frac_flux_left_clamped,frac_recruitment_flux_clamped,boundary_residual_abs_p95,boundary_residual_abs_max,flux_left_mean,recruitment_flux_mean,flux_mismatch_rms,flux_mismatch_abs_mean,flux_mismatch_abs_p95,flux_mismatch_rel_abs_mean,boundary_residual_rms,grad_norm_pde,grad_norm_ic,grad_norm_bc,grad_abs_max_pde,grad_abs_mean_pde,grad_abs_max_ic,grad_abs_mean_ic,grad_abs_max_bc,grad_abs_mean_bc,grad_norm_max_min_ratio
1,8830.938199121072,0.7642948715572716,9.458334268864501,8820.71556998065,0.8742395961961867,0.8066500442689151,1.1892182999354803,1.1938845401670775,0.000768384784331469,0.002586003107937655,0.18727013373141466,0.7124256853969276,13.834761069404143,13.900442789292123,1019436.9972622342,1088643.2882884012,0.0,3.729367361721739,0.187059572329123,0.19061445701715224,-0.5187189075944655,1.0100309392419646,8830.938199121072,,,,,,,,1e-30,0.0,0.0,60594342400.99676,62520849428.57762,1.0,0.0,93.93425957434079,93.93631871873832,0.0,61429521609.60175,61432289524.87528,61429521609.60175,62392256968.3457,1.0,93.918664651818,0.1488230641912252,2.210310181389531,411.90057322487036,0.024082676126382586,0.0009627509548352882,0.3892447817786388,0.01445452359707806,172.20214098043297,2.279469171287427,2767.720013449075
2,8820.741647288522,0.7563892312102876,9.33605688977481,8810.649201167536,0.8697064051795224,0.8024704951609146,1.1836855668939483,1.18783972248881,0.0010986484783104232,0.006967645069238599,0.18725803852836287,0.7124256853969277,13.771337178782145,13.915352447362602,956788.055960915,1104996.1926501757,0.0,3.729367361721802,0.187059572329123,0.19043057647095138,-0.51871890759447,1.0100309392419646,8820.741647288522,,,,,,,,1e-30,0.0,0.0,57244411680.376335,59567761807.06215,1.0,0.0,93.88515535707023,93.8879331452174,0.0,58224810637.34104,58229042354.90071,58224810637.34104,59402549801.57324,1.0,93.86505846782143,0.15039996441925707,2.214149177697668,418.04915060451737,0.025082515742818525,0.0009667673720459607,0.3996954702319017,0.01445553516255322,172.9190485742361,2.307413821218056,2779.5827759583617
3,8810.77595705041,0.7484256918283521,9.213973296840125,8800.813558061742,0.8651159990592892,0.7982375791264146,1.178007402460894,1.1819601488863276,0.0014542947977946466,0.011398633309091218,0.18724693749847063,0.7124256853969277,13.709068451268305,13.932772961478111,899027.0943035576,1124414.4412832067,0.0,3.729367361721862,0.187059572329123,0.19026234194502395,-0.5187189075944735,1.0100309392419646,8810.77595705041,,,,,,,,1e-30,0.0,0.0,54122649832.84167,56842963365.87986,1.0,0.0,93.83758287888283,93.84111106385726,0.0,55254043214.30583,55260138266.21492,55254043214.30583,56642802587.379486,1.0,93.81265137529022,0.155717693444358,2.280171750345999,426.66169978549976,0.02613796605648303,0.000986229144390551,0.4113669213748638,0.014710502115358947,173.57776548687693,2.362037134575672,2739.9693018054954
4,8800.828911128014,0.7402907820296896,9.08996194066016,8790.998658405324,0.8604015237258065,0.7938917784466951,1.1718917247136713,1.1762848254926734,0.0018284017937079341,0.01594517898573286,0.18723651925903503,0.712425685396928,13.646888378075793,13.952475654184045,844828.0361176765,1146788.1205813093,0.0,3.729367361721942,0.187059572329123,0.19010414858024496,-0.5187189075944748,1.0100309392419646,8800.828911128014,,,,,,,,1e-30,0.0,0.0,51163271158.69892,54260244583.79846,1.0,0.0,93.79030711235386,93.79461044161462,0.0,52439649660.20644,52447952532.170746,52439649660.20644,54027300843.71634,1.0,93.76032560953126,0.16429627808252287,2.3995987145476705,437.21150632198936,0.027307412970205072,0.0010215546313375758,0.4251424704490783,0.015182977562818034,174.19605411789837,2.438066480091574,2661.1163163561528
5,8790.71294327268,0.7318632528160696,8.961981085536145,8781.019098934328,0.855490065878073,0.7893672993257347,1.165789126396293,1.1704220471094595,0.0022192524486907487,0.020683144409055366,0.18722655688428083,0.7124256853969281,13.583801964188027,13.974495983611215,793177.226412922,1172320.8607380865,0.0,3.729367361722035,0.187059572329123,0.18995203463489777,-0.5187189075944778,1.0100309392419646,8790.71294327268,,,,,,,,1e-30,0.0,0.0,48314922329.41345,51757560771.00185,1.0,0.0,93.74228669460523,93.74738915009652,0.0,49723972906.42066,49734769663.73329,49723972906.42066,51494215321.09897,1.0,93.70709204182108,0.17556826450224927,2.5623201450073423,449.3892551065724,0.028874596148719144,0.001071512966574188,0.4413664509661558,0.015939944048322663,174.78678028811325,2.5296822413621505,2559.6269142411847
6,8780.367628376021,0.72304381764815,8.828219827406844,8770.816364730967,0.8503198325619308,0.7846081498059158,1.159402149311376,1.1642323189486783,0.0026240936737098775,0.025679416729068965,0.18721698441553364,0.7124256853969283,13.519566065046282,13.999420698317008,743828.7146357825,1201907.8152312771,0.0,3.729367361722138,0.187059572329123,0.1898046830039626,-0.5187189075944789,1.0100309392419646,8780.367628376021,,,,,,,,1e-30,0.0,0.0,45567736141.94678,49315053165.30881,1.0,0.0,93.6931282593669,93.69904799924896,0.0,47091838011.58816,47105320168.652695,47091838011.58816,49024076146.335144,1.0,93.65263672065494,0.1890424751279414,2.759828775085812,462.9338255039829,0.03232514060150455,0.001138236233178224,0.47977877079260217,0.016927459222661343,175.3532307935939,2.6388644500196894,2448.834978438975
7,8769.673501860418,0.713711603891711,8.686734616902033,8760.273055639624,0.8448145381630876,0.7795444369909661,1.1521187193995184,1.1576233316799072,0.0030476000142468864,0.03100939756851316,0.18720769926989672,0.7124256853969286,13.453476920872795,14.027777868576264,696258.94732197,1236478.36469456,0.0,3.7293673617222605,0.187059572329123,0.18966052452248144,-0.5187189075944794,1.0100309392419646,8769.673501860418,,,,,,,,1e-30,0.0,0.0,42895055234.40467,46907911356.16806,1.0,0.0,93.64224138001892,93.64900497362677,0.0,44517045419.63501,44533372531.221146,44517045419.63501,46591830921.52637,1.0,93.59633035348995,0.20437054248149056,2.9859639333255457,477.75943710663034,0.03574086976541138,0.0012182379308120859,0.5292596074649342,0.018074174975926532,175.90087949069306,2.7628748493082904,2337.7118409807035
8,8758.53319957323,0.7037469009032998,8.535585953458384,8749.293866718868,0.8388962396526163,0.7741044567075371,1.1441135236734625,1.1504996201336288,0.0034948908937539624,0.03675031622804486,0.18719864061730526,0.7124256853969289,13.384952842293018,14.060248717676632,650146.3967574657,1277286.8242659909,0.0,3.72936736172241,0.187059572329123,0.18951865895217923,-0.5187189075944796,1.0100309392419646,8758.53319957323,,,,,,,,1e-30,0.0,0.0,40280732888.89843,44521881723.39551,1.0,0.0,93.58915702000408,93.59679941920453,0.0,41984186642.97978,42003493721.48317,41984186642.97978,44183063798.545456,1.0,93.5376601520418,0.22130060959256867,3.236476176430062,493.8123391146574,0.03914216330905245,0.0013084357026498614,0.5819576422110726,0.0193629753663138,176.43265266903435,2.893741044737061,2231.409755372132
9,8746.864535367697,0.693038709224161,8.37301560345259,8737.79848105502,0.8324894649328368,0.7682182513146014,1.1357357052070716,1.1427677682548552,0.003973596563528208,0.042974899648799636,0.18718977635324155,0.7124256853969293,13.313448416928066,14.097572360978196,605281.1966767923,1325860.6596395136,0.0,3.7293673617225895,0.187059572329123,0.18937874954930178,-0.5187189075944774,1.0100309392419646,8746.864535367697,,,,,,,,1e-30,0.0,0.0,37714267600.5034,42151861452.95292,1.0,0.0,93.53352884327614,93.54209747282539,0.0,39485394888.50899,39507834108.10776,39485394888.50899,41792386115.65614,1.0,93.47619205474204,0.23964375823564285,3.508315230113842,511.05151579723486,0.04254939281966886,0.0014049103317185076,0.6374722465531607,0.020767602273655913,176.9496926834162,3.0380401783440134,2132.5467417128198
10,8734.802741229658,0.6818823514714298,8.203775252919755,8725.917083625267,0.8257616795852359,0.7620413081236301,1.1275547702365316,1.1347409793396441,0.0044624631173707085,0.0495296140687811,0.187181233819264,0.7124256853969297,13.240098918908092,14.137723694457119,562473.2851735554,1380178.911103277,0.0,3.7293673617227787,0.187059572329123,0.18924220095572056,-0.5187189075944745,1.0100309392419646,8734.802741229658,,,,,,,,1e-30,0.0,0.0,35242830177.68113,39821925718.203545,1.0,0.0,93.47573224493566,93.48523628481217,0.0,37057507287.72593,37082929369.939026,37057507287.72593,39445441123.88335,1.0,93.41261736845439,0.2584364572622381,3.7862528170852503,528.8894283700449,0.04575167889856189,0.001502273086073784,0.6945773090375994,0.02220306392983865,177.44394937272733,3.18336917541135,2046.4969763665174
