step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc,loss_weighted,loss_unweighted,boundary_loss_form,bc_eps,frac_flux_left_clamped,frac_recruitment_flux_clamped,flux_left_min,recruitment_flux_min,boundary_residual_abs_p95,boundary_residual_abs_max,weight_update_hard_set,causal_fraction,t_max_current
1,10.317606086237811,0.7344177818237904,9.583188304414021,0.0,2.4364405882068323,0.8131611596939009,0.8131611596939009,1.1981652313834639,0.0004049400236166914,3.6883832872286755,0.187059572329123,0.18912459073053392,1077473.705247074,1117018.5214988017,2.180727200000547,1.0,1.0,0.001,0.7344177818237904,9.583188304414021,0.0,,,,,,10.317606086237811,10.317606086237811,log,1e-30,,,,,,,0.0,0.05,2.0
2,10.34063187966101,0.8822976107965097,9.458334268864501,0.0,2.3820087478287593,0.8629826233669445,0.8870839936798393,1.1906270003298915,0.00017645033601342008,2.822776161923669,0.187059572329123,0.18967277791141157,1053714.0702912558,1087787.5971172955,2.6133681000210345,1.0,1.0,0.001,0.8822976107965097,9.458334268864501,0.0,,,,,,10.34063187966101,10.34063187966101,log,1e-30,,,,,,,0.0,0.050633333333333336,2.025333333333333
3,10.247589608542107,0.9115327187672981,9.33605688977481,0.0,2.3985059873235532,0.8776900120028385,0.8942409559188161,1.1873801542082656,0.0012374866091292083,3.406783267784504,0.187059572329123,0.1877919354744352,1000364.1695257017,1094441.4203149467,2.9118858000147156,1.0,1.0,0.001,0.9115327187672981,9.33605688977481,0.0,,,,,,10.247589608542107,10.247589608542107,log,1e-30,,,,,,,0.0,0.05126666666666667,2.050666666666667
4,9.898392814298084,0.6844195174579588,9.213973296840125,0.0,2.4297335483243465,0.7738956700334045,0.7738956700334045,1.1812584103992914,0.0012478741153665596,3.0280901280022214,0.187059572329123,0.1877478752054081,945358.501677501,1106502.9837961018,3.2165762999793515,1.0,1.0,0.001,0.6844195174579588,9.213973296840125,0.0,,,,,,9.898392814298084,9.898392814298084,log,1e-30,,,,,,,0.0,0.0519,2.076
5,10.010485569841867,0.9205236291817075,9.08996194066016,0.0,2.604573838964334,0.9289931484714176,0.9289931484714176,1.1730756705451215,0.00039968914307326325,3.6490094592997218,0.187059572329123,0.18873893389390897,918327.9748118316,1134493.2851001855,3.5005793999880552,1.0,1.0,0.001,0.9205236291817075,9.08996194066016,0.0,,,,,,10.010485569841867,10.010485569841867,log,1e-30,,,,,,,0.0,0.052533333333333335,2.1013333333333333
6,9.60335253320463,0.6413714476684854,8.961981085536145,0.0,2.7207485256139456,0.6891540341513217,0.7143932058559551,1.1690627219953496,0.0,3.73386800564562,0.187059572329123,0.1898150002554823,855320.4078648812,1170050.4980040363,3.7952601999859326,1.0,1.0,0.001,0.6413714476684854,8.961981085536145,0.0,,,,,,9.60335253320463,9.60335253320463,log,1e-30,,,,,,,0.0,0.05316666666666667,2.126666666666667
7,9.648643361025174,0.8204235336183299,8.828219827406844,0.0,2.94137394929152,0.835858057428624,0.835858057428624,1.1622657390076436,0.0,3.688755264027979,0.187059572329123,0.18971280909358096,811236.0701017812,1199903.8290293666,4.088072000013199,1.0,1.0,0.001,0.8204235336183299,8.828219827406844,0.0,,,,,,9.648643361025174,9.648643361025174,log,1e-30,,,,,,,0.0,0.0538,2.152
8,9.4177944520886,0.7310598351865677,8.686734616902033,0.0,3.2050552198017965,0.7605819799689151,0.7825602496188249,1.1523682582876242,0.0009238619343605661,2.4248177341057024,0.187059572329123,0.18784111481417434,764682.1729103313,1191458.2046531932,4.380680800008122,1.0,1.0,0.001,0.7310598351865677,8.686734616902033,0.0,,,,,,9.4177944520886,9.4177944520886,log,1e-30,,,,,,,0.0,0.054433333333333334,2.1773333333333333
9,9.234093266134183,0.6985073126757994,8.535585953458384,0.0,3.455252106318048,0.76364242794516,0.76364242794516,1.1469749161296945,0.0006149377434320896,3.725570909305259,0.187059572329123,0.18810372630829317,724536.5185176935,1233726.1614627382,4.66794509999454,1.0,1.0,0.001,0.6985073126757994,8.535585953458384,0.0,,,,,,9.234093266134183,9.234093266134183,log,1e-30,,,,,,,0.0,0.05506666666666667,2.2026666666666666
10,19.45666732454423,0.7288341545582167,8.37301560345259,0.0,8.105970363039637,0.78671093313845,0.78671093313845,1.1389003242611024,0.0,3.7133709893034896,0.187059572329123,0.18937800737320545,680119.277391262,1325741.0481818444,4.997282799973618,1.0,2.2366891520259014,0.001,0.7288341545582167,18.727833169986013,0.0,0.046450670719074626,0.020767602273655913,,2.2366891520259014,,19.45666732454423,9.101849758010806,log,1e-30,,,,,,,1.0,0.0557,2.2279999999999998
