t_eval,flux_left,recruitment_flux,flux_mismatch
0.0,0.0,1.0903326375089681e-10,-1.0903326375089681e-10
0.6666666666666666,0.0,1.2098502742359643e-12,-1.2098502742359643e-12
1.3333333333333333,0.0,6.00139305150535e-13,-6.00139305150535e-13
2.0,0.0,5.107601615437624e-13,-5.107601615437624e-13
2.6666666666666665,0.0,4.884995586507177e-13,-4.884995586507177e-13
3.333333333333333,0.0,4.815269433698696e-13,-4.815269433698696e-13
4.0,0.0,4.788927124236826e-13,-4.788927124236826e-13
4.666666666666666,0.0,4.776988007947636e-13,-4.776988007947636e-13
5.333333333333333,0.0,4.770595118805603e-13,-4.770595118805603e-13
6.0,0.0,4.766675508938918e-13,-4.766675508938918e-13
6.666666666666666,0.0,4.764022245825452e-13,-4.764022245825452e-13
7.333333333333333,0.0,4.762099781315344e-13,-4.762099781315344e-13
8.0,0.0,4.760641242039703e-13,-4.760641242039703e-13
8.666666666666666,0.0,4.759498980253527e-13,-4.759498980253527e-13
9.333333333333332,0.0,4.758583724437644e-13,-4.758583724437644e-13
10.0,0.0,4.757837501485272e-13,-4.757837501485272e-13
10.666666666666666,0.0,4.757220529604679e-13,-4.757220529604679e-13
11.333333333333332,0.0,4.756704356750856e-13,-4.756704356750856e-13
12.0,0.0,4.756268001897e-13,-4.756268001897e-13
12.666666666666666,0.0,4.755895641136563e-13,-4.755895641136563e-13
13.333333333333332,0.0,4.755575139754731e-13,-4.755575139754731e-13
14.0,0.0,4.75529707495705e-13,-4.75529707495705e-13
14.666666666666666,0.0,4.755054058570934e-13,-4.755054058570934e-13
15.333333333333332,0.0,4.754840252150824e-13,-4.754840252150824e-13
16.0,0.0,4.754651010895434e-13,-4.754651010895434e-13
16.666666666666664,0.0,4.754482617073564e-13,-4.754482617073564e-13
17.333333333333332,0.0,4.754332077606912e-13,-4.754332077606912e-13
18.0,0.0,4.754196968792501e-13,-4.754196968792501e-13
18.666666666666664,0.0,4.754075316319296e-13,-4.754075316319296e-13
19.333333333333332,0.0,4.753965502074122e-13,-4.753965502074122e-13
20.0,0.0,4.753866191475568e-13,-4.753866191475568e-13
20.666666666666668,0.0,4.753776276637963e-13,-4.753776276637963e-13
21.333333333333336,0.0,4.753694831791587e-13,-4.753694831791587e-13
22.0,0.0,4.753621078217789e-13,-4.753621078217789e-13
22.666666666666668,0.0,4.753554356582226e-13,-4.753554356582226e-13
23.333333333333336,0.0,4.753494105028137e-13,-4.753494105028137e-13
24.0,0.0,4.753439841760352e-13,-4.753439841760352e-13
24.666666666666668,0.0,4.753391151133799e-13,-4.753391151133799e-13
25.333333333333336,0.0,4.753347672482937e-13,-4.753347672482937e-13
26.0,0.0,4.753309091099462e-13,-4.753309091099462e-13
26.666666666666668,0.0,4.753275130897423e-13,-4.753275130897423e-13
27.333333333333336,0.0,4.753245548410067e-13,-4.753245548410067e-13
28.0,0.0,4.753220127840482e-13,-4.753220127840482e-13
28.666666666666668,0.0,4.753198676951056e-13,-4.753198676951056e-13
29.333333333333336,0.0,4.753181023624309e-13,-4.753181023624309e-13
30.0,0.0,4.753167012963768e-13,-4.753167012963768e-13
30.666666666666668,0.0,4.753156504833448e-13,-4.753156504833448e-13
31.333333333333336,0.0,4.753149371755185e-13,-4.753149371755185e-13
32.0,0.0,4.753145497101228e-13,-4.753145497101228e-13
32.666666666666664,0.0,4.753144773531716e-13,-4.753144773531716e-13
33.333333333333336,0.0,4.753147101638117e-13,-4.753147101638117e-13
34.0,0.0,4.753152388760654e-13,-4.753152388760654e-13
34.666666666666664,0.0,4.753160547954588e-13,-4.753160547954588e-13
35.333333333333336,0.0,4.753171497084653e-13,-4.753171497084653e-13
36.0,0.0,4.753185158031348e-13,-4.753185158031348e-13
36.666666666666664,0.0,4.7532014559951e-13,-4.7532014559951e-13
37.333333333333336,0.0,4.75322031888716e-13,-4.75322031888716e-13
38.0,0.0,4.753241676797476e-13,-4.753241676797476e-13
38.666666666666664,0.0,4.753265461531841e-13,-4.753265461531841e-13
39.333333333333336,0.0,4.753291606211335e-13,-4.753291606211335e-13
40.0,0.0,4.753320044927756e-13,-4.753320044927756e-13
