t_eval,flux_left,recruitment_flux,flux_mismatch
0.0,0.0,533584310.31973314,-533584310.31973314
0.6666666666666666,0.0,485613539.5720078,-485613539.5720078
1.3333333333333333,0.0,442398568.07406664,-442398568.07406664
2.0,0.0,403450329.4337866,-403450329.4337866
2.6666666666666665,0.0,368330380.75042164,-368330380.75042164
3.333333333333333,0.0,336645764.53389513,-336645764.53389513
4.0,0.0,308044366.18238086,-308044366.18238086
4.666666666666666,0.0,282210723.93585783,-282210723.93585783
5.333333333333333,0.0,258862251.17208928,-258862251.17208928
6.0,0.0,237745833.79760936,-237745833.79760936
6.666666666666666,0.0,218634768.28169242,-218634768.28169242
7.333333333333333,0.0,201326008.56508607,-201326008.56508607
8.0,0.0,185637692.63256225,-185637692.63256225
8.666666666666666,0.0,171406921.95923573,-171406921.95923573
9.333333333333332,0.0,158487769.3192872,-158487769.3192872
10.0,0.0,146749492.57977882,-146749492.57977882
10.666666666666666,0.0,136074934.09188354,-136074934.09188354
11.333333333333332,0.0,126359087.13939857,-126359087.13939857
12.0,0.0,117507812.61382963,-117507812.61382963
12.666666666666666,0.0,109436690.66176574,-109436690.66176574
13.333333333333332,0.0,102069993.49977088,-102069993.49977088
14.0,0.0,95339766.92118365,-95339766.92118365
14.666666666666666,0.0,89185009.23504394,-89185009.23504394
15.333333333333332,0.0,83550937.48697819,-83550937.48697819
16.0,0.0,78388331.8224482,-78388331.8224482
16.666666666666664,0.0,73652949.77136885,-73652949.77136885
17.333333333333332,0.0,69305003.06660794,-69305003.06660794
18.0,0.0,65308690.36394046,-65308690.36394046
18.666666666666664,0.0,61631779.91396762,-61631779.91396762
19.333333333333332,0.0,58245236.85334554,-58245236.85334554
20.0,0.0,55122890.33905313,-55122890.33905313
20.666666666666668,0.0,52241136.25067012,-52241136.25067012
21.333333333333336,0.0,49578671.63667758,-49578671.63667758
22.0,0.0,47116257.4862247,-47116257.4862247
22.666666666666668,0.0,44836506.771869406,-44836506.771869406
23.333333333333336,0.0,42723695.035415776,-42723695.035415776
24.0,0.0,40763591.081723206,-40763591.081723206
24.666666666666668,0.0,38943305.60755665,-38943305.60755665
25.333333333333336,0.0,37251155.827186085,-37251155.827186085
26.0,0.0,35676544.366278455,-35676544.366278455
26.666666666666668,0.0,34209850.883153744,-34209850.883153744
27.333333333333336,0.0,32842335.043967325,-32842335.043967325
28.0,0.0,31566049.627893176,-31566049.627893176
28.666666666666668,0.0,30373762.67177567,-30373762.67177567
29.333333333333336,0.0,29258887.682677303,-29258887.682677303
30.0,0.0,28215421.052790817,-28215421.052790817
30.666666666666668,0.0,27237885.9056759,-27237885.9056759
31.333333333333336,0.0,26321281.686952658,-26321281.686952658
32.0,0.0,25461038.887542393,-25461038.887542393
32.666666666666664,0.0,24652978.35428295,-24652978.35428295
33.333333333333336,0.0,23893274.702150706,-23893274.702150706
34.0,0.0,23178423.395192243,-23178423.395192243
34.666666666666664,0.0,22505211.11031684,-22505211.11031684
35.333333333333336,0.0,21870689.03996697,-21870689.03996697
36.0,0.0,21272148.826933634,-21272148.826933634
36.666666666666664,0.0,20707100.857728742,-20707100.857728742
37.333333333333336,0.0,20173254.670418903,-20173254.670418903
38.0,0.0,19668501.259068534,-19668501.259068534
38.666666666666664,0.0,19190897.080296412,-19190897.080296412
39.333333333333336,0.0,18738649.588237576,-18738649.588237576
40.0,0.0,18310104.142708365,-18310104.142708365
