step,fixed_loss,fixed_loss_pde,fixed_loss_ic,fixed_loss_bc,fixed_residual_log_rms,fixed_residual_log_abs_mean,fixed_residual_log_abs_p95,fixed_residual_log_abs_max,rms_dlogN_dt,rms_advective,rms_mu,rms_dg_dw,log_N_eval_min,log_N_eval_max,N_eval_min,N_eval_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,dg_dw_min,dg_dw_max,fixed_loss_unweighted,fixed_w_pde,fixed_w_ic,fixed_w_bc,fixed_weighted_loss_pde,fixed_weighted_loss_ic,fixed_weighted_loss_bc,fixed_loss_weighted,bc_eps,flux_left_min,flux_left_max,recruitment_flux_min,recruitment_flux_max,frac_flux_left_clamped,frac_recruitment_flux_clamped,boundary_residual_abs_p95,boundary_residual_abs_max,flux_left_mean,recruitment_flux_mean,flux_mismatch_rms,flux_mismatch_abs_mean,flux_mismatch_abs_p95,flux_mismatch_rel_abs_mean,boundary_residual_rms,grad_norm_pde,grad_norm_ic,grad_norm_bc,grad_abs_max_pde,grad_abs_mean_pde,grad_abs_max_ic,grad_abs_mean_ic,grad_abs_max_bc,grad_abs_mean_bc,grad_norm_max_min_ratio
1,8836.073938678044,0.7642671766502488,9.440276622178736,8825.869394879215,0.8742237566265566,0.8066066506905658,1.1889633437366263,1.1935847758105302,0.0007909483973668889,0.0025620990422484803,0.1872765442731752,0.7124256853969281,13.865093469450821,13.936287079786712,1050832.7147055354,1128372.7175098506,0.0,3.7293673617219154,0.187059572329123,0.190712665383336,-0.5187189075944516,1.0100309392419646,8836.073938678044,,,,,,,,1e-30,0.0,0.0,62320601352.62938,64103572037.23034,1.0,0.0,93.95959201015319,93.9613187151516,0.0,63137507305.8144,63139761014.113846,63137507305.8144,63992990016.23785,1.0,93.94609834835727,0.17057511651905163,2.5333956968819416,440.15820175801304,0.025993543765706825,0.0011291170431257428,0.39341783298641264,0.016984894573577016,171.81759715719616,2.5545379928733456,2580.436178150589
50,8535.54074691471,0.5542892142911858,6.596342101115002,8528.390115599304,0.7445060203189668,0.687553707792852,1.0269261595220909,1.0439089538463073,0.011862724846685118,0.12766961239490662,0.18709988653694867,0.7124256853969301,12.070065268803162,14.354917215984536,174567.23875812878,1714988.985280416,0.0,3.7293673617237517,0.187059572329123,0.18785110422872073,-0.5187189075945989,1.0100309392419646,8535.54074691471,,,,,,,,1e-30,0.0,0.0,11542431464.46269,15033376976.925613,1.0,0.0,92.48866034832247,92.51109148772552,0.0,12827861365.524796,12869749781.878094,12827861365.524796,14700309302.421648,1.0,92.34928324356018,0.4200189658494014,6.567958044726916,785.1133918937543,0.07253102760005065,0.0023622625759666858,1.3120804901127647,0.04367499990873602,181.48785962878458,4.613341295036997,1869.2331911870335
100,8006.3153493467935,0.12587781725704117,0.47407698547115246,8005.715394544065,0.35479263980111136,0.29126616758474794,0.7574149648399198,0.9299167459073197,0.06445676973741318,0.5512932977182886,0.18706183833769763,0.712425685397138,8.923581369983506,17.70638692293525,7506.926224648165,48953769.09902947,0.0,3.729367361881216,0.187059572329123,0.18712241368656143,-0.5187189075943399,1.0100309392419646,8006.3153493467935,,,,,,,,1e-30,0.0,0.0,516620981.8538241,1234506837.016939,1.0,0.0,89.93243955997025,90.01149019484387,0.0,746747015.6701827,774237276.5424618,746747015.6701827,1141049456.7880373,1.0,89.47466342235697,0.37384129023947144,5.896988420250905,1231.5732518771395,0.05469520499480208,0.0014972477238297287,0.7817928668998295,0.03734329306547738,178.76737346621272,5.488843620336775,3294.3746023566064
150,7748.7782028649835,0.11435076067998994,0.5471692411873821,7748.116682863116,0.33815789312093536,0.2787614305370644,0.6401581497344325,0.9253831167793768,0.10534294462792877,0.80475096053837,0.18706010625332473,0.7124256853978254,7.497652173616246,19.28305794625933,1803.8024241007397,236878508.72706157,0.0,3.729367362510016,0.187059572329123,0.1870751607828061,-0.518718907594429,1.0100309392419646,7748.7782028649835,,,,,,,,1e-30,0.0,0.0,121704926.79513516,306978665.99375635,1.0,0.0,88.5216471270156,88.61984160108115,0.0,175621385.2651378,183022894.9122385,175621385.2651378,278404923.1873504,1.0,88.02338713582382,0.2580978832423862,7.247092072354097,1308.2592152402233,0.03580909246986789,0.0016234157879303035,0.7741011394116214,0.03915063449099304,176.0040154665296,4.462802699311734,5068.849069217682
200,7700.742356722089,0.105900681344912,0.507445058436741,7700.129010982308,0.32542384876482544,0.26747230667175714,0.6092461675222283,0.9113943533101473,0.11828176305507132,0.782370388444855,0.18705998693654766,0.7124256853976697,7.1498450498450605,19.245766011320974,1273.9085475528557,228207534.35931122,0.0,3.729367362466678,0.187059572329123,0.18707351404201825,-0.5187189075947195,1.0100309392419646,7700.742356722089,,,,,,,,1e-30,0.0,0.0,85752022.50287892,275373532.92766726,1.0,0.0,88.3832047270626,88.51119182535031,0.0,136790038.34923598,146267222.0769462,136790038.34923598,242493817.08604783,1.0,87.75037897913779,0.2206350605463192,7.372669175541951,1310.6508167448208,0.02878228364703791,0.0014844676896896797,0.6877399710685482,0.042201194681126854,175.46686659892825,4.669809912595493,5940.356049938257
250,7634.823326353779,0.10394156448001944,0.5040289257321104,7634.215355863566,0.3223996967740811,0.2665689729324106,0.573247131247599,0.8938892774401512,0.13724456041012667,0.7630709252648779,0.18705986647865364,0.712425685397532,6.697860983339833,19.211238438256117,810.669932785921,220462559.0608888,0.0,3.7293673624296497,0.187059572329123,0.18707139362998557,-0.5187189075948764,1.0100309392419646,7634.823326353779,,,,,,,,1e-30,0.0,0.0,54254649.00139974,234289598.32372612,1.0,0.0,88.17818496930595,88.34962129762218,0.0,97365696.12970136,108481242.91967769,97365696.12970136,197672101.05200422,1.0,87.37399702350561,0.22030293158007505,7.844471689459173,1317.3227383850344,0.0262339296658377,0.001543099688687256,0.6873366404549935,0.046302882451670184,174.7228286703454,4.7308292194006984,5979.596952872223
300,7550.51786561825,0.11231589070976275,0.5144928424031423,7549.891056885137,0.33513563031967036,0.2818066032186381,0.5452772052746876,0.8743664203948048,0.16303849913682494,0.7472000800610881,0.18705976250139755,0.7124256853974068,6.159490888629849,19.144122800389958,473.1871085635265,206151686.9885851,0.0,3.7293673623775736,0.187059572329123,0.187069050601139,-0.5187189075949371,1.0100309392419646,7550.51786561825,,,,,,,,1e-30,0.0,0.0,31393404.34123366,188629461.69259337,1.0,0.0,87.89636008627627,88.13284791836512,0.0,63195726.190964654,74819713.9170192,63195726.190964654,149319834.37563154,1.0,86.8901090854715,0.2642472427601146,8.310301522008718,1324.8578618238023,0.02910778374853746,0.0018521092271148103,0.7186532388420466,0.04940283671163511,173.76224116145153,4.6030778477190655,5013.7055281462945
350,7449.597854848943,0.138328103410679,0.5341831748148869,7448.925343570717,0.3719248625874304,0.31911231850650656,0.5976837596141603,0.8542732727815829,0.19553770701352863,0.7353717640697198,0.18705968487148092,0.7124256853972873,5.5653604117284825,19.0012513649313,261.21933325746534,178705787.25776267,0.0,3.7293673622888184,0.187059572329123,0.18706674454974426,-0.5187189075949535,1.0100309392419646,7449.597854848943,,,,,,,,1e-30,0.0,0.0,17169731.534741785,143447498.82377142,1.0,0.0,87.52472924191076,87.85903245418629,0.0,37595477.73169794,48303204.82272961,37595477.73169794,103246500.3265251,1.0,86.30715696609822,0.3604428153627609,8.713010464115872,1331.345254781598,0.04369607454569418,0.002444232705914094,0.7718095130291671,0.051113745259912684,172.6013645045527,4.312435041756401,3693.637931003537
400,7333.812628121235,0.19704218616039512,0.6366434455381493,7332.978942489537,0.4438943412124051,0.38417028233544825,0.729995264605777,0.933004871128263,0.2343439792153783,0.7338074388090868,0.18705963262587422,0.7124256853972,4.936720317321088,18.86117554896291,139.31259837903946,155347569.59305212,0.0,3.7293673622116206,0.187059572329123,0.1870644590723579,-0.5187189075949562,1.0100309392419646,7333.812628121235,,,,,,,,1e-30,0.0,0.0,9089901.196031028,98195827.11800303,1.0,0.0,87.00983662371966,87.48002706853649,0.0,20263828.650817364,28450753.37013701,20263828.650817364,62000850.80100653,1.0,85.63281463603504,0.5320257309800728,9.79625824649206,1336.1113968178975,0.07662118158039674,0.0033812603813654423,0.9401123085248362,0.0556253270053207,171.2560691919956,3.899355896908072,2511.366122004242
450,7213.431021457295,0.2938784837161293,0.774741972306544,7212.362401001273,0.5421056019966306,0.4648413592800696,0.926776466946698,1.1332006823962422,0.2774359899438769,0.7404255842290617,0.18705960349660733,0.7124256853971561,4.294089782192991,18.858530576208246,73.26549652613397,154937222.42174774,0.0,3.729367362197891,0.187059572329123,0.18706280537264638,-0.5187189075949568,1.0100309392419646,7213.431021457295,,,,,,,,1e-30,0.0,0.0,4759893.718857225,65148015.04083102,1.0,0.0,86.41356412949094,87.06972518336866,0.0,10561787.009882664,16454568.48813409,10561787.009882664,34455059.59142925,1.0,84.92562864648853,0.7615580378204609,11.350150632348331,1339.6556114028035,0.12546299831075006,0.004446119925208954,1.2047910653854803,0.061699459697213715,169.84349454486784,3.5178126245940073,1759.0985123561002
