step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc,loss_weighted,loss_unweighted,boundary_loss_form,bc_eps,frac_flux_left_clamped,frac_recruitment_flux_clamped,flux_left_min,recruitment_flux_min,boundary_residual_abs_p95,boundary_residual_abs_max,weight_update_hard_set
1,13.19511345393783,0.7886928465175044,9.636442953069158,2769.977654351168,2.857138317540089,0.7899434050468035,0.8179265605166668,1.202755457249257,0.0004497239630638361,3.2887472440812235,0.187059572329123,0.1892326268207013,1130994.3233834119,1242219.6955739942,2.245143000036478,1.0,1.0,0.001,0.7886928465175044,9.636442953069158,2.769977654351168,,,,,,13.19511345393783,2780.4027901507548,log,1e-12,1.0,0.0,0.0,70357971071.55806,52.63722850532874,52.63759585135212,0.0
2,12.990493052176149,0.7337834084574201,9.496765214121956,2759.944429596774,2.6943640506612723,0.7735197668423098,0.785850865409449,1.1922078453350773,0.0,2.8680391262007956,0.187059572329123,0.19085729517145072,1084726.906215213,1143473.401873545,2.823591100051999,1.0,1.0,0.001,0.7337834084574201,9.496765214121956,2.759944429596774,,,,,,12.990493052176149,2770.1749782193538,log,1e-12,1.0,0.0,0.0,64106896812.35301,52.55260619063323,52.5537073775978,0.0
3,12.710134432340746,0.5924554860538234,9.366032664169115,2751.646282117807,2.595035551885287,0.5926845378494241,0.6998763643852451,1.1821979017717508,0.0003403078735734061,3.7231746927312033,0.187059572329123,0.18913348283056616,992394.8738854773,1114597.6555227777,2.8589419999625534,1.0,1.0,0.001,0.5924554860538234,9.366032664169115,2.751646282117807,,,,,,12.710134432340746,2761.60477026803,log,1e-12,1.0,0.0,0.0,58975200585.79241,52.4711920228808,52.472630529438014,0.0
4,12.867578985961053,0.8838357185053967,9.24003845145461,2743.7048160010463,2.6622608845317184,0.8777027733552245,0.8777027733552245,1.1866505452273017,0.00012327218002562007,3.065140960421506,0.187059572329123,0.18961736106279675,914853.4507994655,1103822.0189926315,2.895827499916777,1.0,1.0,0.001,0.8838357185053967,9.24003845145461,2.7437048160010464,,,,,,12.867578985961053,2753.828690171006,log,1e-12,1.0,0.0,0.0,54756326974.95189,52.40250614401727,52.405638667281366,0.0
5,12.651749711097386,0.8004768776606546,9.115233768387638,2736.0390650490926,2.7382168898685952,0.8341020132698483,0.8341020132698483,1.1812106067857078,0.0,3.2335696446826,0.187059572329123,0.19005322135754313,852236.9479817122,1101643.4120160842,2.9306435000617057,1.0,1.0,0.001,0.8004768776606546,9.115233768387638,2.7360390650490927,,,,,,12.651749711097386,2745.954775695141,log,1e-12,1.0,0.0,0.0,51153947311.85076,52.33084827973653,52.34018451522937,0.0
6,12.302799170316796,0.5841245515037644,8.988961121761033,2729.7134970519983,2.7990707181192898,0.6573942532340491,0.676774283163023,1.174279163091708,0.0005035664542930654,3.660872204789376,0.187059572329123,0.18842467358502976,797583.8636734762,1087706.0211778372,2.9711329001002014,1.0,1.0,0.001,0.5841245515037644,8.988961121761033,2.7297134970519985,,,,,,12.302799170316796,2739.286582725263,log,1e-12,1.0,0.0,0.0,48122661799.35448,52.26953507455896,52.27390990652186,0.0
7,12.248840680675778,0.6664231114559186,8.859042985161999,2723.3745840578617,2.99381709363665,0.6784589460421528,0.7017351857198655,1.1683937710387604,0.0,3.7256457605013704,0.187059572329123,0.18962355280547336,734429.9766755671,1112335.5771649876,3.0099547000136226,1.0,1.0,0.001,0.6664231114559186,8.859042985161999,2.723374584057862,,,,,,12.248840680675778,2732.9000501544797,log,1e-12,1.0,0.0,0.0,45015961412.726875,52.21088173862881,52.2148181917423,0.0
8,12.196942358592366,0.7561256715718739,8.723301249538075,2717.515437482417,3.2135504716529195,0.7947110596453638,0.8031280744750995,1.1638533944116636,0.00013866530401191596,3.7174926921494285,0.187059572329123,0.1889980866266778,706181.01859812,1121029.5308124109,3.045992000028491,1.0,1.0,0.001,0.7561256715718739,8.723301249538075,2.717515437482417,,,,,,12.196942358592366,2726.9948644035267,log,1e-12,1.0,0.0,0.0,42378010706.417595,52.15820813550476,52.16876573182549,0.0
9,12.163848943163824,0.8728481994877715,8.579653579162025,2711.3471645140266,3.4439612316537622,0.8508110899228636,0.8881215842160111,1.1561585387181084,0.00013351593117642835,3.453889786301889,0.187059572329123,0.1888772363615766,668664.9946486194,1143655.6843902383,3.0820557000115514,1.0,1.0,0.001,0.8728481994877715,8.579653579162025,2.711347164514027,,,,,,12.163848943163824,2720.7996662926766,log,1e-12,1.0,0.0,0.0,39769346495.63673,52.10136774303675,52.10229508633461,0.0
10,11.874806883880549,0.7438443076141915,8.42609705477947,2704.8655214868877,3.6979237968801515,0.7869077133345433,0.8093825177503688,1.1499121352139052,7.911845630662051e-05,3.2560542555294303,0.187059572329123,0.18893006190682077,612211.8284338296,1179717.644023442,3.117643400095403,1.0,1.0,0.001,0.7438443076141915,8.42609705477947,2.7048655214868877,,,,,,11.874806883880549,2714.0354628492814,log,1e-12,1.0,0.0,0.0,37691944645.30957,52.049039375858925,52.06014793967992,0.0
11,11.55189875717031,0.5912538742077622,8.260715292493812,2699.929590468735,3.9514276994099036,0.7002836971769596,0.7002836971769596,1.1410087270600937,0.0009304321531214549,3.5108544972735802,0.187059572329123,0.18768601466970702,573145.9685659467,1170905.977531361,3.1540530999191105,1.0,1.0,0.001,0.5912538742077622,8.260715292493812,2.6999295904687353,,,,,,11.55189875717031,2708.7815596354367,log,1e-12,1.0,0.0,0.0,35477214082.69658,52.00114608056342,52.002700622111895,0.0
