step,fixed_loss,fixed_loss_pde,fixed_loss_ic,fixed_loss_bc,fixed_residual_log_rms,fixed_residual_log_abs_mean,fixed_residual_log_abs_p95,fixed_residual_log_abs_max,rms_dlogN_dt,rms_advective,rms_mu,rms_dg_dw,log_N_eval_min,log_N_eval_max,N_eval_min,N_eval_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,dg_dw_min,dg_dw_max,flux_left_mean,recruitment_flux_mean,flux_mismatch_rms,flux_mismatch_abs_mean,flux_mismatch_abs_p95,flux_mismatch_rel_abs_mean,boundary_residual_rms,grad_norm_pde,grad_norm_ic,grad_norm_bc,grad_norm_max_min_ratio
1,6601.670095976974,0.7464375075269161,203.57961097617212,6397.344047493275,0.8639661495260772,0.7969066679296403,1.1767874331099653,1.1823637204636965,0.0056728463934371705,0.00832242119427252,0.18705957249967195,0.7124256853969144,-0.2686102140753977,0.0713977621036231,0.7644411659904876,1.0740083407345915,0.0,3.729367361717043,0.187059572329123,0.1870595754849496,-0.5187189075949576,1.0100309392419646,0.0,54593.21833969574,54694.20619739392,54593.21833969574,59965.16224392469,1.0,79.98339857428712,0.178209448522809,68.17765100982696,438.7605276195209,2462.049746836874
50,5774.6066219905515,0.6185286718561928,417.26637431976974,5356.721718998925,0.7864659381411205,0.7320744209943885,1.0732691348915335,1.1170967801553089,0.020215437629711116,0.09202978773670503,0.1870595723293137,0.7124256853969144,-7.008064431604454,-4.785169103888634,0.0009045577284110218,0.008352711152572032,0.0,3.729367361717043,0.187059572329123,0.1870595723325347,-0.5187189075949576,1.0100309392419646,0.0,61.10560726876586,61.138786490028835,61.10560726876586,64.87832881951587,1.0,73.18962849337962,0.3619550640975401,296.0635342725503,1148.2187951901758,3172.2689059566587
100,5031.438674540392,1.6636136112913913,135.95797195164616,4893.817088977454,1.2898114634671964,0.9279629644301678,2.8858749518727773,3.289186302422948,0.425356096970575,1.4760670844162482,0.1870595723291315,0.7124256853969144,-10.592565532458975,10.315873080773429,2.5101937276883716e-05,30208.33264713783,0.0,3.7293673617171628,0.187059572329123,0.1870595723296992,-0.5187189075949576,1.0100309392419646,0.0,2.8375577721320884,3.567605726290895,2.8375577721320884,7.279674670119844,1.0,69.95582240941388,3.9370128267506908,313.80453396512695,1118.2080469617015,284.0244866269803
150,4520.682852485833,7.555429401421511,76.99221543883783,4436.135207645573,2.7487141359955043,1.7143576840355443,6.931173175608318,8.65565883336168,0.8781007274484597,2.371270785978636,0.1870595723291256,0.7124256853969198,-13.894270069243824,13.828187124282175,9.242621723471473e-07,1012757.2545742412,0.0,3.729367361721387,0.187059572329123,0.1870595723319195,-0.5187189075949576,1.0100309392419646,0.0,0.1395546200783284,0.30922307649787334,0.1395546200783284,0.3922792189077111,1.0,66.60431823572382,11.589177652044446,349.530767256008,1108.7268581964051,95.66915716412498
200,4111.19523212682,13.956031095519332,74.77095887255514,4022.4682421587454,3.7357771742328705,2.121961489480461,9.896855205321186,13.260349075508987,1.2851542417496982,2.9055318990347554,0.1870595723292686,0.7124256853970334,-17.126836680741505,16.980599146765773,3.646778091850076e-08,23690842.683231056,0.0,3.7293673618191563,0.187059572329123,0.18705957251913982,-0.5187189075949576,1.0100309392419646,0.0,0.019856338290125366,0.08937069965894084,0.019856338290125366,0.022959703161250324,1.0,63.42293151659536,17.360460268011554,423.9224587053312,1125.772512009436,64.84692770984813
250,3718.84656839446,18.613723871598484,67.25816435942193,3632.9746801634396,4.314362510452557,2.340855039798441,11.738637359223048,16.212127643894004,1.7699873837617737,2.9816950496509627,0.18705957234923606,0.7124256854003124,-20.8646188297908,20.596386067313247,8.681827952874431e-10,880839569.8956062,0.0,3.7293673655099364,0.187059572329123,0.18705959827735788,-0.5187189075949576,1.0100309392419646,0.0,2.4753541577658127,13.757238943454045,2.4753541577658127,0.06856577155425375,1.0,60.27416262515341,20.241677527528243,442.04241292583527,1385.3498489849235,68.4404663151499
300,3310.806238369153,18.40722475906071,94.12257083390534,3198.276442776187,4.290364175575392,2.320878516019683,11.696032796057619,15.976289341944547,2.102138445081772,2.6193135176345614,0.18705957233203496,0.712425685460515,-24.679388205666125,24.183490161128194,1.9137177522036606e-11,31824114632.487442,0.0,3.7293674951120885,0.187059572329123,0.18705957633081574,-0.5187189075949576,1.0100309392419646,0.0,0.29973713869071783,1.6681621359454253,0.29973713869071783,0.0019379424649547156,1.0,56.55330620552778,19.575722660787616,540.0660843059978,1329.9097129720594,67.93668545560358
350,2879.3756305973993,14.340202454034154,46.208114202855015,2818.82731394051,3.7868459770677436,2.143849719753662,10.287592284565815,13.64833692220999,2.2351820914476925,1.9785392778711453,0.187059572329835,0.7124256854047272,-28.917969174788325,23.252316969346577,2.7611217660602333e-13,12541600170.916693,0.0,3.72936740186433,0.187059572329123,0.18705957315122673,-0.5187189075949576,1.0100309392419646,0.0,12.02858679322654,66.96497246046685,12.02858679322654,0.02050240683769835,1.0,53.092629563250206,17.075172411159993,469.75951704303003,1529.00032210343,89.54523475874866
400,2459.9552900104773,18.408352771440125,128.45978386129218,2313.087153377745,4.290495632376302,2.155332475129634,12.336602019486115,18.42102436162055,2.5915380867153393,2.064202831226131,0.18705957232912387,0.7124256853970788,-32.964485124664165,19.621626669566343,4.82731914074318e-15,332325899.2222881,0.0,3.7293673627161086,0.187059572329123,0.18705957233028211,-0.5187189075949576,1.0100309392419646,0.0,0.0002769267378442975,0.0015418499455126904,0.0002769267378442975,3.1278236949203973e-08,1.0,48.09456469683185,20.040203237514852,1354.7637582857865,1146.3731048095008,67.60229635544296
450,2016.2378746472964,22.713571537798504,135.4525463780613,1858.0717567314366,4.765875736713926,2.2866434639506776,13.939854018148752,20.663128716203044,3.1179375368101305,2.005679543965061,0.18705957232912365,0.7124256853970119,-38.21502128343237,19.152744499843806,2.5317867973197782e-17,207936748.95207396,0.0,3.7293673623646146,0.187059572329123,0.18705957232997925,-0.5187189075949576,1.0100309392419646,0.0,0.00020970423812917145,0.0011675835928079937,0.00020970423812917145,5.082008767426248e-10,1.0,43.105356473777555,24.572588497663077,1707.796901310661,1204.7330900502484,69.50008142093282
500,1460.580472079544,32.20374813596701,44.951645045346794,1383.4250788982304,5.674834635120834,2.563815366456931,16.72302319982079,24.915757017553013,4.075562991332105,1.9707525027190278,0.18705957232987072,0.7124256853972175,-45.79788222355783,20.284880629658257,1.288939305468812e-20,645077246.534579,0.0,3.7293673639037417,0.187059572329123,0.18705957319339847,-0.5187189075949576,1.0100309392419646,0.0,7.260845070739738,40.426674398651706,7.260845070739738,8.419305630122319e-08,1.0,37.194422685373546,33.740383804612925,962.9114906120686,1616.144313849367,47.89940515224402
550,1009.6033580432918,42.85346424502161,30.93826618812945,935.8116276101407,6.546255742408909,2.8631672838434383,19.723368332878774,28.370596636620192,4.896779232224142,2.035860493111237,0.18705957234837867,0.712425685398979,-54.20323145273782,22.29364718216137,2.8829404968289294e-24,4808481535.609709,0.0,3.7293673776333294,0.187059572329123,0.18705959342800577,-0.5187189075949576,1.0100309392419646,0.0,504.3179166949791,2807.9233240103817,504.3179166949791,2.800663762830784e-07,1.0,30.591038354559668,45.62823136199502,559.7982063957968,1770.5739361872484,38.804351677369795
600,775.7306093341739,51.83613743056406,214.49361547416368,509.40085642944615,7.199731761014716,2.8111434579722316,21.072795207003946,34.20212643362264,5.668367810316048,1.8723990518264866,0.18705957232912304,0.7124256853969348,-60.1240285796573,17.71147770277228,7.735104014458008e-27,49203617.381415136,0.0,3.729367361888187,0.187059572329123,0.18705957232915052,-0.5187189075949576,1.0100309392419646,0.0,1.3513979480199695e-06,7.52426533498718e-06,1.3513979480199695e-06,5.981737305175058e-20,1.0,22.56991042138728,52.10048391792562,4048.4804352608253,1192.2935850721697,77.70523670448885
650,1109.924027723184,62.96038668527142,879.9450995599302,167.01854147798244,7.934758136532671,2.926233999435323,23.650921992063367,40.418305137044264,6.13133925670728,2.1220857796895163,0.187059572329123,0.7124256853969895,-68.5169572071823,19.102226187377752,1.751715481003744e-30,197693060.70092458,0.0,3.7293673623296093,0.187059572329123,0.187059572329123,-0.5187189075949576,1.0100309392419646,0.0,7.303260188064621e-18,4.0662831169746024e-17,7.303260188064621e-18,1.8733225206148525e-25,1.0,12.923565354730188,93.1827659685477,8633.307763608984,602.4793143425603,92.64918972809859
700,1112.3641723310443,82.6421921389614,979.277652771736,50.44432742034679,9.090775112110155,3.166307402194393,26.99639944763189,47.805420428197145,7.151343591091482,2.2657091432427876,0.187059572329123,0.712425685397111,-75.78731253350765,20.04089447568521,1.2189569515273486e-33,505417043.773742,0.0,3.729367363380778,0.187059572329123,0.187059572329123,-0.5187189075949576,1.0100309392419646,0.0,1.357591103119868e-18,7.5587473628054e-18,1.357591103119868e-18,1.2114618652536162e-28,1.0,7.102417012563173,114.07741096773657,10377.24964045003,611.3118426470182,90.9667352407299
