quantity,min_diff,max_diff,mean_abs_err,max_abs_err,rel_q0,rel_q50,rel_q90,rel_q99,rel_q100
encounter,-1.0477378964424133e-09,1.1059455573558807e-09,3.923230913749354e-11,1.1059455573558807e-09,0.0,4.7836126162851096e-15,3.912313939806437e-14,8.407726680151526e-14,1.1812658940055537e-13
feeding_level,-2.853273173286652e-14,2.6978419498391304e-14,3.3782236267635806e-15,2.853273173286652e-14,0.0,1.8533465725792256e-15,1.6365910905519387e-14,3.488488132951917e-14,4.8509150421622956e-14
e,-8.640199666842818e-11,4.9112713895738125e-11,2.604191494971301e-12,8.640199666842818e-11,0.0,5.673259556823319e-15,3.7922667808156125e-14,8.525442160969835e-14,1.320426251492748e-13
e_repro,-8.640199666842818e-11,3.2741809263825417e-11,2.3398414605305753e-12,8.640199666842818e-11,0.0,0.0,1.7392034562705542e-14,1.3234192278796692e-13,6.032719613390359e-13
e_growth,-1.8189894035458565e-11,1.1823431123048067e-11,2.851977942003315e-13,1.8189894035458565e-11,0.0,3.878077772734761e-15,3.46846812562981e-14,7.884512158850021e-14,0.01785714285714323
