"time","species","w","N"
21,"Sprat",0.00137,463538772099093
22,"Sprat",0.00137,374999520447139
23,"Sprat",0.00137,289263732612576
24,"Sprat",0.00137,217667969825444
25,"Sprat",0.00137,162873143018568
26,"Sprat",0.00137,122804322398844
27,"Sprat",0.00137,93922528605434.8
28,"Sprat",0.00137,72928885122050.7
29,"Sprat",0.00137,57353687481977.3
30,"Sprat",0.00137,45584398331726.2
31,"Sprat",0.00137,36653134825645.4
32,"Sprat",0.00137,29972892191977.7
33,"Sprat",0.00137,25141553629228.1
34,"Sprat",0.00137,21847486199695.2
35,"Sprat",0.00137,19845069673377
36,"Sprat",0.00137,18956928292591.2
37,"Sprat",0.00137,19078521568758.8
38,"Sprat",0.00137,20178658860903.9
39,"Sprat",0.00137,22297323301291.1
40,"Sprat",0.00137,25543211553952.1
0,"Sprat",0.00152,561404789503.571
1,"Sprat",0.00152,563510212611.083
2,"Sprat",0.00152,609329122453.226
3,"Sprat",0.00152,939928724447.44
4,"Sprat",0.00152,2470858056856.58
5,"Sprat",0.00152,7468868386028.86
6,"Sprat",0.00152,19352817675851.9
7,"Sprat",0.00152,40511230646118.8
8,"Sprat",0.00152,69764412156125.5
9,"Sprat",0.00152,102730507419727
10,"Sprat",0.00152,134737818201762
11,"Sprat",0.00152,162971889631769
12,"Sprat",0.00152,186606653544702
13,"Sprat",0.00152,206117837488175
14,"Sprat",0.00152,223261577473450
15,"Sprat",0.00152,242923053638385
16,"Sprat",0.00152,276095986558897
17,"Sprat",0.00152,333085694320363
18,"Sprat",0.00152,397993526728706
19,"Sprat",0.00152,431358533633786
20,"Sprat",0.00152,413945459149069
21,"Sprat",0.00152,357274364995943
22,"Sprat",0.00152,284015016549261
23,"Sprat",0.00152,213213450600687
24,"Sprat",0.00152,154975364597188
25,"Sprat",0.00152,111486584386303
26,"Sprat",0.00152,80659244809987.5
27,"Sprat",0.00152,59205324058422.7
28,"Sprat",0.00152,44178976349744.1
29,"Sprat",0.00152,33438441366282.5
30,"Sprat",0.00152,25605918841823.9
31,"Sprat",0.00152,19852470499436
32,"Sprat",0.00152,15670785461679.4
33,"Sprat",0.00152,12716593935954
34,"Sprat",0.00152,10732189237894.8
35,"Sprat",0.00152,9522611858309.2
36,"Sprat",0.00152,8951550027587.13
37,"Sprat",0.00152,8939891468340.98
38,"Sprat",0.00152,9462958098237.08
39,"Sprat",0.00152,10547598059078.9
