"time","species","w","N"
35,"Sprat",0.00537,361180829745.592
36,"Sprat",0.00537,292990104266.19
37,"Sprat",0.00537,256993898568.552
38,"Sprat",0.00537,245590618971.764
39,"Sprat",0.00537,255595084931.81
40,"Sprat",0.00537,287574822138.871
0,"Sprat",0.00597,63533214084.8737
1,"Sprat",0.00597,63534477377.5361
2,"Sprat",0.00597,63594628814.4422
3,"Sprat",0.00597,65460441680.4968
4,"Sprat",0.00597,81918525937.875
5,"Sprat",0.00597,168835164425.99
6,"Sprat",0.00597,490646670120.162
7,"Sprat",0.00597,1361829232247.66
8,"Sprat",0.00597,3130854971917.77
9,"Sprat",0.00597,5903798213271.61
10,"Sprat",0.00597,9389090841172.34
11,"Sprat",0.00597,13070314965711.4
12,"Sprat",0.00597,16505775050775.5
13,"Sprat",0.00597,19472384029085.4
14,"Sprat",0.00597,21937401967570.9
15,"Sprat",0.00597,24006909198268.5
16,"Sprat",0.00597,26001663754199.3
17,"Sprat",0.00597,28722846145083.5
18,"Sprat",0.00597,33379184568352
19,"Sprat",0.00597,39823597538746.6
20,"Sprat",0.00597,44787785852512.1
21,"Sprat",0.00597,44664943423992.6
22,"Sprat",0.00597,39151274827519
23,"Sprat",0.00597,30655784841546.4
24,"Sprat",0.00597,21954799275098.6
25,"Sprat",0.00597,14776940733013.2
26,"Sprat",0.00597,9611817420946.81
27,"Sprat",0.00597,6191975689408.74
28,"Sprat",0.00597,4019587123895.65
29,"Sprat",0.00597,2651858837757.52
30,"Sprat",0.00597,1779517878006.29
31,"Sprat",0.00597,1211289505692.15
32,"Sprat",0.00597,835497139769.163
33,"Sprat",0.00597,586672478064.904
34,"Sprat",0.00597,424094589847.953
35,"Sprat",0.00597,320699873117.058
36,"Sprat",0.00597,258131529751.866
37,"Sprat",0.00597,224406913711.528
38,"Sprat",0.00597,212479569366.152
39,"Sprat",0.00597,219218811079.916
40,"Sprat",0.00597,244788391057.892
0,"Sprat",0.00663,55387642538.3953
1,"Sprat",0.00663,55389235838.5179
2,"Sprat",0.00663,55424060442.7879
3,"Sprat",0.00663,56700010375.9527
4,"Sprat",0.00663,68695512412.624
5,"Sprat",0.00663,134330990522.366
6,"Sprat",0.00663,384696397125.11
7,"Sprat",0.00663,1081666878240.03
8,"Sprat",0.00663,2534686070387.53
9,"Sprat",0.00663,4867366330229.29
10,"Sprat",0.00663,7859295730194.41
11,"Sprat",0.00663,11069248091549.4
12,"Sprat",0.00663,14097325521255.9
13,"Sprat",0.00663,16728902744787
14,"Sprat",0.00663,18920937127486.5
15,"Sprat",0.00663,20753392599301
16,"Sprat",0.00663,22479355407552.7
17,"Sprat",0.00663,24744359700710.7
18,"Sprat",0.00663,28598168991762.1
19,"Sprat",0.00663,34130529272874.2
20,"Sprat",0.00663,38744401246024.8
21,"Sprat",0.00663,39154809259577.7
22,"Sprat",0.00663,34764817659547.8
23,"Sprat",0.00663,27516874368964.2
24,"Sprat",0.00663,19868599542022.5
25,"Sprat",0.00663,13442500218816.5
26,"Sprat",0.00663,8763666146299.26
27,"Sprat",0.00663,5644909226593.91
28,"Sprat",0.00663,3658520990093.05
29,"Sprat",0.00663,2408442534660.03
30,"Sprat",0.00663,1612932222031.8
31,"Sprat",0.00663,1096035821585.78
32,"Sprat",0.00663,754658983793.328
33,"Sprat",0.00663,528564140885.238
34,"Sprat",0.00663,380579534341.669
35,"Sprat",0.00663,286148214562.669
36,"Sprat",0.00663,228612684577.813
37,"Sprat",0.00663,197031345850.251
38,"Sprat",0.00663,184872110342.883
39,"Sprat",0.00663,189088191105.267
40,"Sprat",0.00663,209538826830.076
0,"Sprat",0.00737,48393861009.8278
1,"Sprat",0.00737,48395870041.9401
2,"Sprat",0.00737,48415802348.7452
3,"Sprat",0.00737,49285104472.3676
4,"Sprat",0.00737,58029774410.9144
5,"Sprat",0.00737,107637774641.023
6,"Sprat",0.00737,302570193781.221
7,"Sprat",0.00737,860487809982.345
8,"Sprat",0.00737,2054458853693.97
9,"Sprat",0.00737,4017580617941.21
10,"Sprat",0.00737,6587429199756.24
11,"Sprat",0.00737,9388840104396.54
12,"Sprat",0.00737,12061083334597.1
13,"Sprat",0.00737,14399106558769.9
14,"Sprat",0.00737,16352207683206.4
15,"Sprat",0.00737,17979667828855.5
16,"Sprat",0.00737,19481638390524.3
17,"Sprat",0.00737,21378132999362.6
18,"Sprat",0.00737,24572490742929.2
19,"Sprat",0.00737,29310258882391.7
20,"Sprat",0.00737,33555816631757.1
21,"Sprat",0.00737,34354733653442.9
22,"Sprat",0.00737,30898144784692.5
23,"Sprat",0.00737,24726278535401.7
24,"Sprat",0.00737,18005067883689
25,"Sprat",0.00737,12249350325579.5
26,"Sprat",0.00737,8006790298038.46
27,"Sprat",0.00737,5158374795754.3
28,"Sprat",0.00737,3338548438510.86
29,"Sprat",0.00737,2193368400774.11
30,"Sprat",0.00737,1466078068144.62
31,"Sprat",0.00737,994647070719.616
32,"Sprat",0.00737,683738501538.98
33,"Sprat",0.00737,477787427503.118
34,"Sprat",0.00737,342763347247.389
35,"Sprat",0.00737,256326333869.345
36,"Sprat",0.00737,203330617656.211
37,"Sprat",0.00737,173771563383.379
38,"Sprat",0.00737,161594263782.595
39,"Sprat",0.00737,163855922589.037
40,"Sprat",0.00737,180187588099.216
0,"Sprat",0.00818,42368544270.7798
1,"Sprat",0.00818,42371062646.485
2,"Sprat",0.00818,42382349882.2882
3,"Sprat",0.00818,42971826091.3882
4,"Sprat",0.00818,49344002511.9962
5,"Sprat",0.00818,86854978653.4935
6,"Sprat",0.00818,238692498954.656
7,"Sprat",0.00818,685423346861.389
8,"Sprat",0.00818,1666690552798.2
9,"Sprat",0.00818,3319084410820.47
10,"Sprat",0.00818,5527142909024.25
11,"Sprat",0.00818,7973577845385.15
12,"Sprat",0.00818,10334178157007.3
13,"Sprat",0.00818,12414219295187.8
14,"Sprat",0.00818,14157459446169
15,"Sprat",0.00818,15606705891462.4
16,"Sprat",0.00818,16920517561134.1
17,"Sprat",0.00818,18517737949662.4
18,"Sprat",0.00818,21169785715988.7
19,"Sprat",0.00818,25217976258904.1
20,"Sprat",0.00818,29091666954741.2
21,"Sprat",0.00818,30164042070465.2
22,"Sprat",0.00818,27481137256509.7
23,"Sprat",0.00818,22238012927363.1
24,"Sprat",0.00818,16334493999457
25,"Sprat",0.00818,11177986908092.2
26,"Sprat",0.00818,7328061440167.05
27,"Sprat",0.00818,4723334510963.59
28,"Sprat",0.00818,3053345274988.96
29,"Sprat",0.00818,2002167696026.34
30,"Sprat",0.00818,1335776613236.76
31,"Sprat",0.00818,904838367179.509
32,"Sprat",0.00818,621058463042.689
33,"Sprat",0.00818,433066626909.479
34,"Sprat",0.00818,309625235080.146
35,"Sprat",0.00818,230363250521.781
36,"Sprat",0.00818,181485118161.874
37,"Sprat",0.00818,153832525819.501
38,"Sprat",0.00818,141793426701.816
39,"Sprat",0.00818,142542209937.751
40,"Sprat",0.00818,155540894909.386
0,"Sprat",0.00909,37161513896.9419
1,"Sprat",0.00909,37164648762.9012
2,"Sprat",0.00909,37170992900.1309
3,"Sprat",0.00909,37568478585.735
4,"Sprat",0.00909,42207128396.3146
5,"Sprat",0.00909,70572367847.4116
6,"Sprat",0.00909,188854508874.597
7,"Sprat",0.00909,546556764623.566
8,"Sprat",0.00909,1352948925768.09
9,"Sprat",0.00909,2743729394394.67
10,"Sprat",0.00909,4641180906707.39
11,"Sprat",0.00909,6778568622564.81
12,"Sprat",0.00909,8865578612121.2
13,"Sprat",0.00909,10718287596134.7
14,"Sprat",0.00909,12276623956373.6
15,"Sprat",0.00909,13570211935958.1
16,"Sprat",0.00909,14724788087590.8
17,"Sprat",0.00909,16077682811412.3
18,"Sprat",0.00909,18283408724966.3
19,"Sprat",0.00909,21735257297017.7
20,"Sprat",0.00909,25243870407119.1
21,"Sprat",0.00909,26498710550915
22,"Sprat",0.00909,24455259699413.5
23,"Sprat",0.00909,20013946130176.2
24,"Sprat",0.00909,14832545814075.3
25,"Sprat",0.00909,10212661091525.9
26,"Sprat",0.00909,6717012911985.28
27,"Sprat",0.00909,4332657831112.68
28,"Sprat",0.00909,2797964708801.18
29,"Sprat",0.00909,1831371611202.73
30,"Sprat",0.00909,1219578865170.75
31,"Sprat",0.00909,824862841875.809
32,"Sprat",0.00909,565345874735.777
33,"Sprat",0.00909,393439352947.232
34,"Sprat",0.00909,280398458886.492
35,"Sprat",0.00909,207606486759.295
36,"Sprat",0.00909,162477534890.449
37,"Sprat",0.00909,136619751551.667
38,"Sprat",0.00909,124832057536.336
39,"Sprat",0.00909,124414076530.769
40,"Sprat",0.00909,134704914918.567
0,"Sprat",0.0101,32648936635.0246
1,"Sprat",0.0101,32652812084.2449
2,"Sprat",0.0101,32656382491.6907
3,"Sprat",0.0101,32922669408.1681
4,"Sprat",0.0101,36293976209.2665
5,"Sprat",0.0101,57736344658.0598
6,"Sprat",0.0101,149860488783.017
7,"Sprat",0.0101,436202592742.563
8,"Sprat",0.0101,1098682085500.95
9,"Sprat",0.0101,2268970908560.54
10,"Sprat",0.0101,3899408515614.47
11,"Sprat",0.0101,5767275347249.11
12,"Sprat",0.0101,7613593185256.34
13,"Sprat",0.0101,9265490800817.73
14,"Sprat",0.0101,10660452171288.9
15,"Sprat",0.0101,11817514502167.7
16,"Sprat",0.0101,12836402801729.5
17,"Sprat",0.0101,13988787322061.1
18,"Sprat",0.0101,15826899975187.7
19,"Sprat",0.0101,18764691626261.9
20,"Sprat",0.0101,21922212620449.2
21,"Sprat",0.0101,23288023286929.1
22,"Sprat",0.0101,21771117435861.5
23,"Sprat",0.0101,18022009917597
24,"Sprat",0.0101,13478942866292.2
25,"Sprat",0.0101,9340394095224.94
26,"Sprat",0.0101,6165110489207.39
27,"Sprat",0.0101,3980582382910.26
28,"Sprat",0.0101,2568438278435.56
29,"Sprat",0.0101,1678215118314.79
30,"Sprat",0.0101,1115544959393.38
31,"Sprat",0.0101,753345904854.085
32,"Sprat",0.0101,515605638962.291
33,"Sprat",0.0101,358157718515.316
34,"Sprat",0.0101,254489895523.342
35,"Sprat",0.0101,187552928634.147
36,"Sprat",0.0101,145847247222.937
37,"Sprat",0.0101,121676486021.59
38,"Sprat",0.0101,110220795357.295
39,"Sprat",0.0101,108909235790.539
40,"Sprat",0.0101,116994070320.545
0,"Sprat",0.0112,28728091142.0895
1,"Sprat",0.0112,28732850802.1442
2,"Sprat",0.0112,28734904546.0872
3,"Sprat",0.0112,28911987058.057
4,"Sprat",0.0112,31356837121.7886
5,"Sprat",0.0112,47554806432.925
6,"Sprat",0.0112,119271260185.473
7,"Sprat",0.0112,348374517322.015
8,"Sprat",0.0112,892342306438.144
9,"Sprat",0.0112,1876654882176.45
10,"Sprat",0.0112,3277313620984.31
11,"Sprat",0.0112,4909788581484.6
12,"Sprat",0.0112,6543959645493.45
13,"Sprat",0.0112,8018081992659.71
14,"Sprat",0.0112,9268320928603.36
15,"Sprat",0.0112,10305192190903.1
16,"Sprat",0.0112,11207720758963.9
17,"Sprat",0.0112,12194692222716.4
18,"Sprat",0.0112,13729768102134
19,"Sprat",0.0112,16225747305219.2
20,"Sprat",0.0112,19050959281326.7
21,"Sprat",0.0112,20472049940066.7
22,"Sprat",0.0112,19386663795880
23,"Sprat",0.0112,16234927903122.9
24,"Sprat",0.0112,12256538925324.8
25,"Sprat",0.0112,8550308314206.3
26,"Sprat",0.0112,5665263211250.7
27,"Sprat",0.0112,3662355620161.69
28,"Sprat",0.0112,2361512720075.2
29,"Sprat",0.0112,1540443176224.77
30,"Sprat",0.0112,1022100773667.11
31,"Sprat",0.0112,689178214412.91
32,"Sprat",0.0112,471039337975.413
33,"Sprat",0.0112,326624995666.359
34,"Sprat",0.0112,231428561480.734
35,"Sprat",0.0112,169804593311.913
36,"Sprat",0.0112,131230986840.958
37,"Sprat",0.0112,108643393949.354
38,"Sprat",0.0112,97575433492.0694
39,"Sprat",0.0112,95586936425.3379
40,"Sprat",0.0112,101871574603.949
0,"Sprat",0.0125,25313301923.188
1,"Sprat",0.0125,25319111242.5487
2,"Sprat",0.0125,25320369733.1507
3,"Sprat",0.0125,25437167416.2326
4,"Sprat",0.0125,27205226283.5701
5,"Sprat",0.0125,39428784313.719
6,"Sprat",0.0125,95216454675.5782
7,"Sprat",0.0125,278388901001.639
8,"Sprat",0.0125,724723775141.159
9,"Sprat",0.0125,1552092003253.04
10,"Sprat",0.0125,2754856022357.11
11,"Sprat",0.0125,4181495221349.35
12,"Sprat",0.0125,5628369896389.74
13,"Sprat",0.0125,6944796372638.77
14,"Sprat",0.0125,8066537237227.43
15,"Sprat",0.0125,8997243930534.85
16,"Sprat",0.0125,9799400625979.62
17,"Sprat",0.0125,10649197665129.7
18,"Sprat",0.0125,11934244357132.4
19,"Sprat",0.0125,14051550130309.9
20,"Sprat",0.0125,16566218060191.8
21,"Sprat",0.0125,17999703423933.1
22,"Sprat",0.0125,17265851881630.2
23,"Sprat",0.0125,14629288445805.2
24,"Sprat",0.0125,11150671536881.9
25,"Sprat",0.0125,7833162630520.59
26,"Sprat",0.0125,5211488273392.85
27,"Sprat",0.0125,3373991827385.86
28,"Sprat",0.0125,2174473056174
29,"Sprat",0.0125,1416181491239.03
30,"Sprat",0.0125,937943043476.794
31,"Sprat",0.0125,631445319621.233
32,"Sprat",0.0125,430992102296.248
33,"Sprat",0.0125,298354289199.225
34,"Sprat",0.0125,210832049581.387
35,"Sprat",0.0125,154039759530.821
36,"Sprat",0.0125,118336226161.022
37,"Sprat",0.0125,97232102888.2612
38,"Sprat",0.0125,86588565926.6808
39,"Sprat",0.0125,84095425703.0554
40,"Sprat",0.0125,88909882537.8635
0,"Sprat",0.0138,22332751662.7315
1,"Sprat",0.0138,22339800048.4954
2,"Sprat",0.0138,22340675348.2628
3,"Sprat",0.0138,22417019065.5882
4,"Sprat",0.0138,23691321081.2899
5,"Sprat",0.0138,32902902551.3509
6,"Sprat",0.0138,76255954005.2864
7,"Sprat",0.0138,222566873940.288
8,"Sprat",0.0138,588457748418.887
9,"Sprat",0.0138,1283344903537.57
10,"Sprat",0.0138,2315576122272.96
11,"Sprat",0.0138,3562043510897.76
12,"Sprat",0.0138,4843320659527.69
13,"Sprat",0.0138,6019609615069.09
14,"Sprat",0.0138,7027015226455.85
15,"Sprat",0.0138,7863664764101.87
16,"Sprat",0.0138,8578771705253.61
17,"Sprat",0.0138,9314214411729.82
18,"Sprat",0.0138,10392761887700.5
19,"Sprat",0.0138,12186349345416.7
20,"Sprat",0.0138,14413856927048.8
21,"Sprat",0.0138,15827218171949.8
22,"Sprat",0.0138,15377597215175
23,"Sprat",0.0138,13184850598307.3
24,"Sprat",0.0138,10148688305867.2
25,"Sprat",0.0138,7181021192517.4
26,"Sprat",0.0138,4798675774529.16
27,"Sprat",0.0138,3112103400973.08
28,"Sprat",0.0138,2005020870676.52
29,"Sprat",0.0138,1303848351393.38
30,"Sprat",0.0138,861975167024.292
31,"Sprat",0.0138,579380402901.854
32,"Sprat",0.0138,394917107906.204
33,"Sprat",0.0138,272940993319.76
34,"Sprat",0.0138,192384160725.525
35,"Sprat",0.0138,139993688296.112
36,"Sprat",0.0138,106923344228.263
37,"Sprat",0.0138,87207394713.7714
38,"Sprat",0.0138,77010409545.5001
39,"Sprat",0.0138,74149833305.0618
40,"Sprat",0.0138,77763673366.3363
0,"Sprat",0.0154,19725961451.5608
1,"Sprat",0.0154,19734464256.2771
2,"Sprat",0.0154,19735193462.3672
3,"Sprat",0.0154,19784608453.4533
4,"Sprat",0.0154,20699387034.4554
5,"Sprat",0.0154,27629195493.4643
6,"Sprat",0.0154,61276856912.6191
7,"Sprat",0.0154,178008779286.366
8,"Sprat",0.0154,477624688803.447
9,"Sprat",0.0154,1060674930743.97
10,"Sprat",0.0154,1945898842405.16
11,"Sprat",0.0154,3034531756940.17
12,"Sprat",0.0154,4169210537826.92
13,"Sprat",0.0154,5220761094111.48
14,"Sprat",0.0154,6126235042011.57
15,"Sprat",0.0154,6879327493139.61
16,"Sprat",0.0154,7518562752817.79
17,"Sprat",0.0154,8158172983006.5
18,"Sprat",0.0154,9065982351332.89
19,"Sprat",0.0154,10583505374928.7
20,"Sprat",0.0154,12547842767571.9
21,"Sprat",0.0154,13916939753305.2
22,"Sprat",0.0154,13694963184582.1
23,"Sprat",0.0154,11884011388310.2
24,"Sprat",0.0154,9239592390904.96
25,"Sprat",0.0154,6587010760118.86
26,"Sprat",0.0154,4422419047156.41
27,"Sprat",0.0154,2873780544973.15
28,"Sprat",0.0154,1851188312618.23
29,"Sprat",0.0154,1202092877486.3
30,"Sprat",0.0154,793262627681.69
31,"Sprat",0.0154,532331714836.973
32,"Sprat",0.0154,362351246848.258
33,"Sprat",0.0154,250043966910.796
34,"Sprat",0.0154,175819612117.897
35,"Sprat",0.0154,127445407906.921
36,"Sprat",0.0154,96793350642.6373
37,"Sprat",0.0154,78374885918.0351
38,"Sprat",0.0154,68635468922.9286
39,"Sprat",0.0154,65516716568.9571
40,"Sprat",0.0154,68150882629.7671
0,"Sprat",0.0171,17441783722.3169
1,"Sprat",0.0171,17451984004.9598
2,"Sprat",0.0171,17452708063.6791
3,"Sprat",0.0171,17484359030.1295
4,"Sprat",0.0171,18138030837.891
5,"Sprat",0.0171,23340491461.9863
6,"Sprat",0.0171,49416337243.1044
7,"Sprat",0.0171,142422211676.724
8,"Sprat",0.0171,387454136106.974
9,"Sprat",0.0171,876109607746.948
10,"Sprat",0.0171,1634585907571.28
11,"Sprat",0.0171,2584867540773.12
12,"Sprat",0.0171,3589625183251.25
13,"Sprat",0.0171,4529979520850.11
14,"Sprat",0.0171,5344417165929.13
15,"Sprat",0.0171,6023097358568.56
16,"Sprat",0.0171,6595901614637.68
17,"Sprat",0.0171,7154778446218.15
18,"Sprat",0.0171,7921239773970.52
19,"Sprat",0.0171,9203879287155.28
20,"Sprat",0.0171,10928902399374.7
21,"Sprat",0.0171,12236349773279.9
22,"Sprat",0.0171,12194510122535.5
23,"Sprat",0.0171,10711387601502.1
24,"Sprat",0.0171,8413770221125.39
25,"Sprat",0.0171,6045137964534.96
26,"Sprat",0.0171,4078888803793.22
27,"Sprat",0.0171,2656503027267.24
28,"Sprat",0.0171,1711275579816.02
29,"Sprat",0.0171,1109750507695.41
30,"Sprat",0.0171,731001126083.942
31,"Sprat",0.0171,489739473830.077
32,"Sprat",0.0171,332897969108.168
33,"Sprat",0.0171,229372295632.552
34,"Sprat",0.0171,160913281500.518
35,"Sprat",0.0171,116208393614.202
36,"Sprat",0.0171,87779190273.1011
37,"Sprat",0.0171,70572258621.3667
38,"Sprat",0.0171,61292998571.6518
39,"Sprat",0.0171,58002957530.2474
40,"Sprat",0.0171,59839020086.0082
0,"Sprat",0.019,15436792264.5731
1,"Sprat",0.019,15448962209.2026
2,"Sprat",0.019,15449771602.7459
3,"Sprat",0.019,15469821548.6062
4,"Sprat",0.019,15934476662.3873
5,"Sprat",0.019,19830705777.8321
6,"Sprat",0.019,40003526610.5796
7,"Sprat",0.019,113990083341.796
8,"Sprat",0.019,314090944184.91
9,"Sprat",0.019,723102153527.563
10,"Sprat",0.019,1372301878921.33
11,"Sprat",0.019,2201258032216.67
12,"Sprat",0.019,3090767362617.03
13,"Sprat",0.019,3931864653496.9
14,"Sprat",0.019,4664862836129.06
15,"Sprat",0.019,5277125947933.91
16,"Sprat",0.019,5791521831343.77
17,"Sprat",0.019,6282028480550.32
18,"Sprat",0.019,6931305329335.42
19,"Sprat",0.019,8014534673356.01
20,"Sprat",0.019,9523434237631.38
21,"Sprat",0.019,10757271863477.2
22,"Sprat",0.019,10855767427168.4
23,"Sprat",0.019,9653480976252.41
24,"Sprat",0.019,7662777378952.11
25,"Sprat",0.019,5550148052878.88
26,"Sprat",0.019,3764737190238.4
27,"Sprat",0.019,2458073598480.04
28,"Sprat",0.019,1583804134943.9
29,"Sprat",0.019,1025809936710.91
30,"Sprat",0.019,674493095057.318
31,"Sprat",0.019,451118968568.844
32,"Sprat",0.019,306214804938.11
33,"Sprat",0.019,210675695318.813
34,"Sprat",0.019,147472411284.424
35,"Sprat",0.019,106123796975.159
36,"Sprat",0.019,79739403375.3776
37,"Sprat",0.019,63662840376.404
38,"Sprat",0.019,54839992208.471
39,"Sprat",0.019,51447573093.4234
40,"Sprat",0.019,52635046594.9653
0,"Sprat",0.0211,13673982313.9704
1,"Sprat",0.0211,13688424159.6543
2,"Sprat",0.0211,13689385161.0639
3,"Sprat",0.0211,13701942921.9375
4,"Sprat",0.0211,14030303169.4029
5,"Sprat",0.0211,16940161818.4601
6,"Sprat",0.0211,32515481608.1737
7,"Sprat",0.0211,91268815520.1835
8,"Sprat",0.0211,254412112380.355
9,"Sprat",0.0211,596261794471.896
10,"Sprat",0.0211,1151268106392.02
11,"Sprat",0.0211,1873801944064.74
12,"Sprat",0.0211,2660999565009.13
13,"Sprat",0.0211,3413390355867.56
14,"Sprat",0.0211,4073423618270.11
15,"Sprat",0.0211,4626284145382.56
16,"Sprat",0.0211,5089128833462.65
17,"Sprat",0.0211,5521433687434.32
18,"Sprat",0.0211,6073400952217.91
19,"Sprat",0.0211,6987684756853.31
20,"Sprat",0.0211,8302617116345.93
21,"Sprat",0.0211,9455219298479.95
22,"Sprat",0.0211,9660800223162.57
23,"Sprat",0.0211,8698405749002.63
24,"Sprat",0.0211,6979166760230.48
25,"Sprat",0.0211,5097413123618.47
26,"Sprat",0.0211,3477022772007.49
27,"Sprat",0.0211,2276566408349.5
28,"Sprat",0.0211,1467480716539.28
29,"Sprat",0.0211,949387848058.375
30,"Sprat",0.0211,623129870941.085
31,"Sprat",0.0211,416047816462.312
32,"Sprat",0.0211,282004008916.971
33,"Sprat",0.0211,193737340756.075
34,"Sprat",0.0211,135330787689.756
35,"Sprat",0.0211,97055383777.0467
36,"Sprat",0.0211,72553373409.8786
37,"Sprat",0.0211,57530777746.8713
38,"Sprat",0.0211,49155898171.0243
39,"Sprat",0.0211,45715527580.5472
40,"Sprat",0.0211,46377711367.7724
0,"Sprat",0.0234,12121714643.901
1,"Sprat",0.0234,12138760954.5153
2,"Sprat",0.0234,12139930696.3297
3,"Sprat",0.0234,12147709475.5939
4,"Sprat",0.0234,12378243842.6228
5,"Sprat",0.0234,14544596973.7272
6,"Sprat",0.0234,26543650614.9064
7,"Sprat",0.0234,73109362841.9775
8,"Sprat",0.0234,205882469090.567
9,"Sprat",0.0234,491138914773.905
10,"Sprat",0.0234,964985149949.233
11,"Sprat",0.0234,1594160888244.03
12,"Sprat",0.0234,2290474692650.73
13,"Sprat",0.0234,2963502736389.48
14,"Sprat",0.0234,3558072189292.59
15,"Sprat",0.0234,4057703822411.83
16,"Sprat",0.0234,4474890220404.75
17,"Sprat",0.0234,4857394489300.66
18,"Sprat",0.0234,5328407311954.56
19,"Sprat",0.0234,6099833598142.41
20,"Sprat",0.0234,7241675764585.42
21,"Sprat",0.0234,8308854901915
22,"Sprat",0.0234,8593850058046.75
23,"Sprat",0.0234,7835663942678.73
24,"Sprat",0.0234,6356348306519.76
25,"Sprat",0.0234,4682841919198.92
26,"Sprat",0.0234,3213150584354.04
27,"Sprat",0.0234,2110286093926.86
28,"Sprat",0.0234,1361168962499.32
29,"Sprat",0.0234,879709095554.346
30,"Sprat",0.0234,576377786748.509
31,"Sprat",0.0234,384156082293.256
32,"Sprat",0.0234,260005341875.031
33,"Sprat",0.0234,178368352972.859
34,"Sprat",0.0234,124344273087.077
35,"Sprat",0.0234,88885648128.0552
36,"Sprat",0.0234,66117674782.6307
37,"Sprat",0.0234,52077321666.2895
38,"Sprat",0.0234,44138546982.3996
39,"Sprat",0.0234,40692959815.5452
40,"Sprat",0.0234,40931636392.5646
0,"Sprat",0.026,10752853053.5397
1,"Sprat",0.026,10772866134.9948
2,"Sprat",0.026,10774301375.7757
3,"Sprat",0.026,10779074252.7714
4,"Sprat",0.026,10939767412.0353
5,"Sprat",0.026,12546886695.19
6,"Sprat",0.026,21768217547.6958
7,"Sprat",0.026,58595656317.3313
8,"Sprat",0.026,166440390963.203
9,"Sprat",0.026,404052982562.714
10,"Sprat",0.026,808008897012.046
11,"Sprat",0.026,1355293201712.54
12,"Sprat",0.026,1970836186183.78
13,"Sprat",0.026,2572793322921.81
14,"Sprat",0.026,3108553015413.96
15,"Sprat",0.026,3560405210273
16,"Sprat",0.026,3937023265019.44
17,"Sprat",0.026,4276700157953.35
18,"Sprat",0.026,4680224617370.02
19,"Sprat",0.026,5331072069315.99
20,"Sprat",0.026,6319271854732.93
21,"Sprat",0.026,7299541016997.44
22,"Sprat",0.026,7641034524676.5
23,"Sprat",0.026,7055958001628.54
24,"Sprat",0.026,5788472921899.36
25,"Sprat",0.026,4302805816629.7
26,"Sprat",0.026,2970823334277.31
27,"Sprat",0.026,1957734683680.97
28,"Sprat",0.026,1263866561273.24
29,"Sprat",0.026,816090809956.062
30,"Sprat",0.026,533767067606.87
31,"Sprat",0.026,355118425549.95
32,"Sprat",0.026,239990361369.734
33,"Sprat",0.026,164403454761.724
34,"Sprat",0.026,114387293170.592
35,"Sprat",0.026,81512760187.3581
36,"Sprat",0.026,60343204888.5004
37,"Sprat",0.026,47217910625.499
38,"Sprat",0.026,39700953938.617
39,"Sprat",0.026,36283436564.5787
40,"Sprat",0.026,36182674041.241
0,"Sprat",0.0289,9544056178.10167
1,"Sprat",0.0289,9567426434.51922
2,"Sprat",0.0289,9569188861.36033
3,"Sprat",0.0289,9572101914.67476
4,"Sprat",0.0289,9683234840.20175
5,"Sprat",0.0289,10870785488.4002
6,"Sprat",0.0289,17938389537.6353
7,"Sprat",0.0289,46996414293.8394
8,"Sprat",0.0289,134406886667.754
9,"Sprat",0.0289,331954056396.199
10,"Sprat",0.0289,675769066308.638
11,"Sprat",0.0289,1151237246282.48
12,"Sprat",0.0289,1694973249037.09
13,"Sprat",0.0289,2233231852203.26
14,"Sprat",0.0289,2716096525799.04
15,"Sprat",0.0289,3124992257100.08
16,"Sprat",0.0289,3465459150714.62
17,"Sprat",0.0289,3768123750303.29
18,"Sprat",0.0289,4115254337523.66
19,"Sprat",0.0289,4664498067863.35
20,"Sprat",0.0289,5516996483436.38
21,"Sprat",0.0289,6410962420735.44
22,"Sprat",0.0289,6790094425219.95
23,"Sprat",0.0289,6351033176035.3
24,"Sprat",0.0289,5270335337616.94
25,"Sprat",0.0289,3954077303740.74
26,"Sprat",0.0289,2748001086074.33
27,"Sprat",0.0289,1817584389612.69
28,"Sprat",0.0289,1174686535428.47
29,"Sprat",0.0289,757929419256.519
30,"Sprat",0.0289,494882791270.187
31,"Sprat",0.0289,328647732460.388
32,"Sprat",0.0289,221757810562.469
33,"Sprat",0.0289,151697474999.981
34,"Sprat",0.0289,105350018646.352
35,"Sprat",0.0289,74848122462.7699
36,"Sprat",0.0289,55152891554.9851
37,"Sprat",0.0289,42879842220.2902
38,"Sprat",0.0289,35768769992.5048
39,"Sprat",0.0289,32404969336.6513
40,"Sprat",0.0289,32034214583.8875
0,"Sprat",0.0321,8475193221.25304
1,"Sprat",0.0321,8502336232.94566
2,"Sprat",0.0321,8504495910.31112
3,"Sprat",0.0321,8506281832.28167
4,"Sprat",0.0321,8582485470.62729
5,"Sprat",0.0321,9456172816.18203
6,"Sprat",0.0321,14857193919.2684
7,"Sprat",0.0321,37727269539.1474
8,"Sprat",0.0321,108412960955.677
9,"Sprat",0.0321,272310811127.879
10,"Sprat",0.0321,564421374680.2
11,"Sprat",0.0321,976934132291.289
12,"Sprat",0.0321,1456820067721.18
13,"Sprat",0.0321,1937946719086.5
14,"Sprat",0.0321,2373184069114.42
15,"Sprat",0.0321,2743402280093.89
16,"Sprat",0.0321,3051568177608.94
17,"Sprat",0.0321,3322092843306.42
