"weight","time","species","N"
0.00142,25,"N.pout",163179567882422
0.00142,26,"N.pout",163179567819001
0.00142,27,"N.pout",163179567778360
0.00142,28,"N.pout",163179567752316
0.00142,29,"N.pout",163179567735626
0.00142,30,"N.pout",163179567724930
0.00142,31,"N.pout",163179567718075
0.00142,32,"N.pout",163179567713683
0.00142,33,"N.pout",163179567710867
0.00142,34,"N.pout",163179567709063
0.00142,35,"N.pout",163179567707907
0.00142,36,"N.pout",163179567707166
0.00142,37,"N.pout",163179567706691
0.00142,38,"N.pout",163179567706387
0.00142,39,"N.pout",163179567706192
0.00142,40,"N.pout",163179567706067
0.00159,0,"N.pout",60814020.6106755
0.00159,1,"N.pout",16907199737430.9
0.00159,2,"N.pout",147963033351862
0.00159,3,"N.pout",148981622954727
0.00159,4,"N.pout",148798729825803
0.00159,5,"N.pout",148707571421670
0.00159,6,"N.pout",148677623872619
0.00159,7,"N.pout",148667959828502
0.00159,8,"N.pout",148666338713944
0.00159,9,"N.pout",148666699165801
0.00159,10,"N.pout",148667060988237
0.00159,11,"N.pout",148667191654082
0.00159,12,"N.pout",148667215165505
0.00159,13,"N.pout",148667212576233
0.00159,14,"N.pout",148667208673318
0.00159,15,"N.pout",148667206886947
0.00159,16,"N.pout",148667206319339
0.00159,17,"N.pout",148667206167980
0.00159,18,"N.pout",148667206119023
0.00159,19,"N.pout",148667206091193
0.00159,20,"N.pout",148667206070934
0.00159,21,"N.pout",148667206056678
0.00159,22,"N.pout",148667206047263
0.00159,23,"N.pout",148667206041256
0.00159,24,"N.pout",148667206037462
0.00159,25,"N.pout",148667206035060
0.00159,26,"N.pout",148667206033531
0.00159,27,"N.pout",148667206032555
0.00159,28,"N.pout",148667206031931
0.00159,29,"N.pout",148667206031531
0.00159,30,"N.pout",148667206031275
0.00159,31,"N.pout",148667206031111
0.00159,32,"N.pout",148667206031006
0.00159,33,"N.pout",148667206030938
0.00159,34,"N.pout",148667206030895
0.00159,35,"N.pout",148667206030867
0.00159,36,"N.pout",148667206030850
0.00159,37,"N.pout",148667206030838
0.00159,38,"N.pout",148667206030831
0.00159,39,"N.pout",148667206030826
0.00159,40,"N.pout",148667206030823
0.00179,0,"N.pout",54032730.6007626
0.00179,1,"N.pout",15300973818775
0.00179,2,"N.pout",134719826766783
0.00179,3,"N.pout",135560379294688
0.00179,4,"N.pout",135449186734643
0.00179,5,"N.pout",135372776871562
0.00179,6,"N.pout",135346897431048
0.00179,7,"N.pout",135337836392390
0.00179,8,"N.pout",135336040859556
0.00179,9,"N.pout",135336263758553
0.00179,10,"N.pout",135336608995503
0.00179,11,"N.pout",135336768460085
0.00179,12,"N.pout",135336821709033
0.00179,13,"N.pout",135336839529539
0.00179,14,"N.pout",135336848224441
0.00179,15,"N.pout",135336854146836
0.00179,16,"N.pout",135336858391788
0.00179,17,"N.pout",135336861298834
0.00179,18,"N.pout",135336863209809
0.00179,19,"N.pout",135336864440392
0.00179,20,"N.pout",135336865227696
0.00179,21,"N.pout",135336865731253
0.00179,22,"N.pout",135336866053704
0.00179,23,"N.pout",135336866260358
0.00179,24,"N.pout",135336866392837
0.00179,25,"N.pout",135336866477763
0.00179,26,"N.pout",135336866532199
0.00179,27,"N.pout",135336866567088
0.00179,28,"N.pout",135336866589448
0.00179,29,"N.pout",135336866603778
0.00179,30,"N.pout",135336866612962
0.00179,31,"N.pout",135336866618848
0.00179,32,"N.pout",135336866622619
0.00179,33,"N.pout",135336866625037
0.00179,34,"N.pout",135336866626586
0.00179,35,"N.pout",135336866627579
0.00179,36,"N.pout",135336866628215
