"time","species","weight","N"
12.9,"Sprat",0.001,18189627775869.4
13,"Sprat",0.001,18194360096900.6
13.1,"Sprat",0.001,18199187603612.6
13.2,"Sprat",0.001,18204017761911.4
13.3,"Sprat",0.001,18208759507402.1
13.4,"Sprat",0.001,18213325144010.9
13.5,"Sprat",0.001,18217632024834.9
13.6,"Sprat",0.001,18221604004440.6
13.7,"Sprat",0.001,18225172663089.5
13.8,"Sprat",0.001,18228278308124.4
13.9,"Sprat",0.001,18230870757297.4
14,"Sprat",0.001,18232909905359.4
14.1,"Sprat",0.001,18234366071319.5
14.2,"Sprat",0.001,18235220121882.2
14.3,"Sprat",0.001,18235463368504.3
14.4,"Sprat",0.001,18235097242066.3
14.5,"Sprat",0.001,18234132759904.6
14.6,"Sprat",0.001,18232589813300.4
14.7,"Sprat",0.001,18230496317084.4
14.8,"Sprat",0.001,18227887274160.3
14.9,"Sprat",0.001,18224803814210.7
15,"Sprat",0.001,18221292266196.9
15.1,"Sprat",0.001,18217403318088.8
15.2,"Sprat",0.001,18213191305134.2
15.3,"Sprat",0.001,18208713651159.2
15.4,"Sprat",0.001,18204030467515.9
15.5,"Sprat",0.001,18199204293147.2
15.6,"Sprat",0.001,18194299938608.1
15.7,"Sprat",0.001,18189384378578.1
15.8,"Sprat",0.001,18184526623251.5
15.9,"Sprat",0.001,18179797490826.5
16,"Sprat",0.001,18175269202777.7
16.1,"Sprat",0.001,18171014731884.2
16.2,"Sprat",0.001,18167106850507.9
16.3,"Sprat",0.001,18163616852714.9
16.4,"Sprat",0.001,18160612956705.7
16.5,"Sprat",0.001,18158158430771.9
16.6,"Sprat",0.001,18156309522984.9
16.7,"Sprat",0.001,18155113307957.7
16.8,"Sprat",0.001,18154605589210.8
16.9,"Sprat",0.001,18154809009204.6
17,"Sprat",0.001,18155731518115.6
17.1,"Sprat",0.001,18157365335469.3
17.2,"Sprat",0.001,18159686506274.8
17.3,"Sprat",0.001,18162655108141.6
17.4,"Sprat",0.001,18166216113103.8
17.5,"Sprat",0.001,18170300854351.6
17.6,"Sprat",0.001,18174829001097.2
17.7,"Sprat",0.001,18179710910735.4
17.8,"Sprat",0.001,18184850210292
17.9,"Sprat",0.001,18190146459724.2
18,"Sprat",0.001,18195497765628.3
18.1,"Sprat",0.001,18200803240639.7
18.2,"Sprat",0.001,18205965235458.4
18.3,"Sprat",0.001,18210891301371
18.4,"Sprat",0.001,18215495866962.5
18.5,"Sprat",0.001,18219701630804.2
18.6,"Sprat",0.001,18223440681595.4
18.7,"Sprat",0.001,18226655359533.6
18.8,"Sprat",0.001,18229298869848.6
18.9,"Sprat",0.001,18231335654405.4
19,"Sprat",0.001,18232741523063.7
19.1,"Sprat",0.001,18233503545596.6
19.2,"Sprat",0.001,18233619708885.8
19.3,"Sprat",0.001,18233098352983.7
19.4,"Sprat",0.001,18231957412236.6
19.5,"Sprat",0.001,18230223501701.9
19.6,"Sprat",0.001,18227930901751.9
19.7,"Sprat",0.001,18225120502364.9
19.8,"Sprat",0.001,18221838771256.2
19.9,"Sprat",0.001,18218136805849.3
20,"Sprat",0.001,18214069518388.5
20.1,"Sprat",0.001,18209694987350.7
20.2,"Sprat",0.001,18205073988326.7
20.3,"Sprat",0.001,18200269695495.1
20.4,"Sprat",0.001,18195347522516.7
20.5,"Sprat",0.001,18190375050936.7
20.6,"Sprat",0.001,18185421976875
20.7,"Sprat",0.001,18180559994832.8
20.8,"Sprat",0.001,18175862532762.8
20.9,"Sprat",0.001,18171404256739.3
21,"Sprat",0.001,18167260277576.8
21.1,"Sprat",0.001,18163505015490.5
21.2,"Sprat",0.001,18160210711040.8
21.3,"Sprat",0.001,18157445608577.6
21.4,"Sprat",0.001,18155271878602.5
21.5,"Sprat",0.001,18153743383665.7
21.6,"Sprat",0.001,18152903424140.7
21.7,"Sprat",0.001,18152782621203.7
21.8,"Sprat",0.001,18153397100995.8
21.9,"Sprat",0.001,18154747133867.6
22,"Sprat",0.001,18156816355263.7
22.1,"Sprat",0.001,18159571652034.3
22.2,"Sprat",0.001,18162963744214.8
22.3,"Sprat",0.001,18166928434288.4
22.4,"Sprat",0.001,18171388441575.4
22.5,"Sprat",0.001,18176255696226.8
22.6,"Sprat",0.001,18181433940959.5
22.7,"Sprat",0.001,18186821481550.6
22.8,"Sprat",0.001,18192313938060.6
22.9,"Sprat",0.001,18197806873589
23,"Sprat",0.001,18203198210093.5
23.1,"Sprat",0.001,18208390375046.2
23.2,"Sprat",0.001,18213292153073.8
23.3,"Sprat",0.001,18217820239559.3
23.4,"Sprat",0.001,18221900506936
