t_eval,flux_left,recruitment_flux,flux_mismatch
0.0,0.0,36441954467.646034,-36441954467.646034
0.6666666666666666,0.0,36380810036.832375,-36380810036.832375
1.3333333333333333,0.0,36320972974.55038,-36320972974.55038
2.0,0.0,36262444256.20153,-36262444256.20153
2.6666666666666665,0.0,36205224204.43641,-36205224204.43641
3.333333333333333,0.0,36149312500.96245,-36149312500.96245
4.0,0.0,36094708199.4436,-36094708199.4436
4.666666666666666,0.0,36041409739.44008,-36041409739.44008
5.333333333333333,0.0,35989414961.33012,-35989414961.33012
6.0,0.0,35938721122.155205,-35938721122.155205
6.666666666666666,0.0,35889324912.32598,-35889324912.32598
7.333333333333333,0.0,35841222473.12415,-35841222473.12415
8.0,0.0,35794409414.933815,-35794409414.933815
8.666666666666666,0.0,35748880836.13332,-35748880836.13332
9.333333333333332,0.0,35704631342.57809,-35704631342.57809
10.0,0.0,35661655067.60275,-35661655067.60275
10.666666666666666,0.0,35619945692.471535,-35619945692.471535
11.333333333333332,0.0,35579496467.2034,-35579496467.2034
12.0,0.0,35540300231.70075,-35540300231.70075
12.666666666666666,0.0,35502349437.10839,-35502349437.10839
13.333333333333332,0.0,35465636167.33152,-35465636167.33152
14.0,0.0,35430152160.64145,-35430152160.64145
14.666666666666666,0.0,35395888831.29944,-35395888831.29944
15.333333333333332,0.0,35362837291.12968,-35362837291.12968
16.0,0.0,35330988370.9751,-35330988370.9751
16.666666666666664,0.0,35300332641.97018,-35300332641.97018
17.333333333333332,0.0,35270860436.56876,-35270860436.56876
18.0,0.0,35242561869.265526,-35242561869.265526
18.666666666666664,0.0,35215426856.953804,-35215426856.953804
19.333333333333332,0.0,35189445138.864,-35189445138.864
20.0,0.0,35164606296.03044,-35164606296.03044
20.666666666666668,0.0,35140899770.23775,-35140899770.23775
21.333333333333336,0.0,35118314882.40002,-35118314882.40002
22.0,0.0,35096840850.33092,-35096840850.33092
22.666666666666668,0.0,35076466805.86474,-35076466805.86474
23.333333333333336,0.0,35057181811.292885,-35057181811.292885
24.0,0.0,35038974875.08385,-35038974875.08385
24.666666666666668,0.0,35021834966.857574,-35021834966.857574
25.333333333333336,0.0,35005751031.58964,-35005751031.58964
26.0,0.0,34990712003.02391,-34990712003.02391
26.666666666666668,0.0,34976706816.27573,-34976706816.27573
27.333333333333336,0.0,34963724419.61177,-34963724419.61177
28.0,0.0,34951753785.396454,-34951753785.396454
28.666666666666668,0.0,34940783920.197014,-34940783920.197014
29.333333333333336,0.0,34930803874.04486,-34930803874.04486
30.0,0.0,34921802748.85207,-34921802748.85207
30.666666666666668,0.0,34913769705.98718,-34913769705.98718
31.333333333333336,0.0,34906693973.01576,-34906693973.01576
32.0,0.0,34900564849.61558,-34900564849.61558
32.666666666666664,0.0,34895371712.67887,-34895371712.67887
33.333333333333336,0.0,34891104020.61646,-34891104020.61646
34.0,0.0,34887751316.88202,-34887751316.88202
34.666666666666664,0.0,34885303232.73634,-34885303232.73634
35.333333333333336,0.0,34883749489.274994,-34883749489.274994
36.0,0.0,34883079898.74343,-34883079898.74343
36.666666666666664,0.0,34883284365.167564,-34883284365.167564
37.333333333333336,0.0,34884352884.32795,-34884352884.32795
38.0,0.0,34886275543.10839,-34886275543.10839
38.666666666666664,0.0,34889042518.25123,-34889042518.25123
39.333333333333336,0.0,34892644074.55287,-34892644074.55287
40.0,0.0,34897070562.534,-34897070562.534
