t_eval,x_eval,w_eval,log10_N,residual_log,dlogN_dt,advective,mu,dg_dw,g_eval
0.0,-6.907755278982137,0.0010000000000000002,6.287950527919573,0.18734873916565456,-0.0016939172817172486,-0.0,0.1890426564473718,0.0,0.0
0.0,-6.842319663633403,0.001067623996501897,6.284592515983091,0.9803737065936663,-0.0017089090880317067,-0.0004873711599161107,0.18889962485604136,0.7936703619855727,4.39956963897703e-06
0.0,-6.7768840482846695,0.0011398209979066826,6.281228595210584,0.9932252248261338,-0.0017238654845765367,-0.006485984064209668,0.1887568846826528,0.8126781896922672,6.240057695692386e-05
0.0,-6.711448432935937,0.0012169002490819115,6.277858872588511,1.0051963291956847,-0.0017387840127725308,-0.012263176154263337,0.18861597146449766,0.830582317898223,0.0001257457176160881
0.0,-6.646012817587203,0.001299191907268984,6.274483456045139,1.0163192320675711,-0.0017536622176577486,-0.017824329255523685,0.18847828295957056,0.8474189405811821,0.00019480322307869474
0.0,-6.580577202238469,0.0013870484562614346,6.271102454435852,1.0266251002586384,-0.0017684976488504208,-0.023174726675544675,0.18834505733146,0.8632232672515734,0.00026996378490699163
0.0,-6.515141586889737,0.0014808462162156177,6.267715977528091,1.0361440621903748,-0.0017832878615140243,-0.028319554613805916,0.18821735745664184,0.8780295472090529,0.0003516418330425583
0.0,-6.449705971541003,0.0015809869555608298,6.2643241359859365,1.0449052207154486,-0.001798030417323811,-0.033263903552980076,0.18809606144821908,0.8918710932375333,0.0004402768835645443
0.0,-6.384270356192269,0.00168789961191322,6.260927041354341,1.0529366714641009,-0.0018127228854340801,-0.03801276963198037,0.18798185923032343,0.904780304751192,0.0005363349595775974
0.0,-6.318834740843536,0.0018020421293647925,6.257524806043008,1.060265526324454,-0.0018273628434454816,-0.042571056001094086,0.18787525476534436,0.9167886904036493,0.0006403100890667451
0.0,-6.253399125494802,0.001923903420017228,6.254117543309932,1.066917941476238,-0.0018419478783715994,-0.046943574159552345,0.18777657334194206,0.9279268901722197,0.0007527258837532608
0.0,-6.187963510146069,0.0020540054581624587,6.250705367244583,1.0729191492479737,-0.0018564755876041786,-0.05113504527579543,0.18768597318243926,0.9382246969289341,0.0008741372031902603
0.0,-6.122527894797336,0.0021929055160801137,6.247288392750778,1.078293492966455,-0.001870943579876139,-0.05515010149078659,0.1876034605274373,0.9477110775096804,0.0010051319085543492
0.0,-6.057092279448602,0.0023411985510285054,6.243866735529199,1.0830644639157665,-0.0018853494762217384,-0.058993287204629645,0.1875289073039199,0.956414193292698,0.001146332710815226
0.0,-5.991656664099869,0.0024995197536535007,6.240440512059599,1.0872547395179548,-0.0018996909109331227,-0.06266906034681965,0.18746207047832653,0.9643614202973811,0.001298399118204674
0.0,-5.9262210487511355,0.0026685472687309874,6.237009839582687,1.090886221884296,-0.001913965532512512,-0.0661817936303825,0.18740261223324078,0.9715793688139502,0.001462029488155367
0.0,-5.860785433402402,0.002849005099896798,6.233574836081696,1.0939800759583898,-0.0019281710046193195,-0.0695357757901939,0.18735012017870306,0.9780939025744999,0.0016379631891431101
0.0,-5.795349818053668,0.003041666210806105,6.230135620263643,1.0965567665718272,-0.0019423050070114388,-0.07273521280577212,0.18730412690871273,0.9839301574758981,0.0018269828781420777
