step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc
1,6643.8713181473295,0.8367942679607129,199.6541220022122,6443.380401877156,347.813941694773,0.815994332283509,0.8442024434275669,1.1909465519374773,0.0013299219879073579,3.677375842012761,0.187059572329123,0.1870595730868515,1.1031409266637116,1.2119251309295915,3.2563187000341713,1.0,1.0,1.0,0.8367942679607129,199.6541220022122,6443.380401877156,,,,,
2,6625.944917510536,0.9119807601541328,202.2998536218409,6422.733083128541,344.8508375311718,0.8793489253454214,0.8895314859819468,1.1880203782677217,0.0,3.523129811308645,0.187059572329123,0.18705957552575234,0.9819962324890232,1.118307344492919,3.308277399977669,1.0,1.0,1.0,0.9119807601541328,202.2998536218409,6422.733083128541,,,,,
3,6608.053102106535,0.6476715522659013,204.991448266673,6402.413982287597,350.8317240544781,0.7416281599018881,0.7416281599018881,1.1846649818039998,0.00020176845063816368,2.6417232352745854,0.187059572329123,0.18705957442690702,0.8631804411136828,1.024807643318296,3.3427444000262767,1.0,1.0,1.0,0.6476715522659013,204.991448266673,6402.413982287597,,,,,
4,6589.948089637043,0.8468334563206761,207.73457517811272,6381.36668100261,364.5202585415984,0.8626501925235186,0.8626501925235186,1.1805670041684482,0.00012114589159772926,3.7195356801422466,0.187059572329123,0.18705957440504783,0.7540447875701788,0.9427307823984691,3.373307100031525,1.0,1.0,1.0,0.8468334563206761,207.73457517811272,6381.36668100261,,,,,
5,6572.338573104183,0.7387392711687394,210.52377824977506,6361.0760555832385,371.9044185076493,0.8044104682599281,0.8177237605828527,1.173929054204635,0.00026288559327308086,3.732719835204636,0.187059572329123,0.187059573866246,0.6641830552019292,0.8678197765300809,3.406179199926555,1.0,1.0,1.0,0.7387392711687394,210.52377824977506,6361.0760555832385,,,,,
6,6554.410274457719,0.7037120347323662,213.42106201444912,6340.285500408538,385.13309516011753,0.756796583047838,0.756796583047838,1.1727051282588339,0.00010686573225360263,3.7159019808562075,0.187059572329123,0.18705957401207143,0.5725438712377328,0.80302455124222,3.4396267000120133,1.0,1.0,1.0,0.7037120347323662,213.42106201444912,6340.285500408538,,,,,
7,6536.254007858802,0.8095014966161206,216.46803300106498,6318.976473361121,401.479360299432,0.8650892241111616,0.8650892241111616,1.149920334708592,0.00011683036997629098,3.0038129828481215,0.187059572329123,0.1870595737655068,0.49770122346626255,0.7166747156163076,3.4710927000269294,1.0,1.0,1.0,0.8095014966161206,216.46803300106498,6318.976473361121,,,,,
8,6515.032358180412,0.7826898363166793,219.69306365741357,6294.5566046866825,426.5186778115446,0.8160353979797654,0.8178543625986185,1.1630816126420922,0.0005117393214629368,2.967310177616031,0.187059572329123,0.1870595731024818,0.42324586729924357,0.6537839312730747,3.502825199859217,1.0,1.0,1.0,0.7826898363166793,219.69306365741357,6294.5566046866825,,,,,
9,6499.023532332032,0.8142328841981288,223.09933163013048,6275.109967817703,438.16491727278907,0.8764432607320625,0.8764432607320625,1.1607560749816364,0.001800988720523658,3.0800490612654716,0.187059572329123,0.18705957250996297,0.3788044567398357,0.5826940798761038,3.5338898999616504,1.0,1.0,1.0,0.8142328841981288,223.09933163013048,6275.109967817703,,,,,
10,6157.778455822402,0.6281357276845672,226.73093075653185,6249.787228956016,439.5788539711632,0.7003451883051764,0.7226012354904835,1.1589485536477815,0.0,3.3072111844419156,0.187059572329123,0.1870595735417616,0.3129173738320104,0.5520986319101885,3.579367999918759,1.0,0.9534579428017915,0.9505878673374385,0.6281357276845672,216.1784068086583,5940.971913286059,0.03473743797431335,0.5022847393010051,2.9545303644246004,0.06915885603583145,0.011757346748771194
11,6137.313410658632,0.6940154793932146,230.5841536013948,6224.324237396809,462.32101891334963,0.7372312692298275,0.7719416233573384,1.1423365411551556,0.00020545897148604997,3.683091491170142,0.187059572329123,0.18705957304049506,0.2640177407483615,0.4555409568860379,3.61375749995932,1.0,0.9534579428017915,0.9505878673374385,0.6940154793932146,219.8522927354782,5916.76710244376,,,,,
12,6119.075573013238,0.824101243966586,234.6724969050203,6200.900851121034,480.3719570453862,0.8730976662033769,0.8730976662033769,1.1510393244035935,0.00011511237513271017,1.602263888525071,0.187059572329123,0.1870595730525397,0.2278513634881497,0.4323160081229798,3.644497500034049,1.0,0.9534579428017915,0.9505878673374385,0.824101243966586,223.75035613122043,5894.501115638051,,,,,
13,6097.303179399944,0.4442692879862111,239.01294578971613,6174.042737316928,502.85212565685345,0.5342311657083033,0.5844153710612138,1.141488029175148,0.0008170882831283963,3.7338303043565597,0.187059572329123,0.1870595725847121,0.18750803526327647,0.35831963782887993,3.674921799916774,1.0,0.9534579428017915,0.9505878673374385,0.4442692879862111,227.88879159565886,5868.970118516299,,,,,
14,6076.673854007694,0.8024104922198922,243.60338380309298,6147.360031748297,524.1319300095398,0.8238252985707081,0.8424615149089899,1.145660203098397,0.001274630188075769,3.3220133051933916,0.187059572329123,0.1870595724657309,0.15752193491395816,0.3158070748782192,3.708391699939966,1.0,0.9534579428017915,0.9505878673374385,0.8024104922198922,232.2655811804523,5843.605862335022,,,,,
15,6053.489523825133,0.6947535699910179,248.4453917046263,6118.227191845001,547.6980191227045,0.7527256699149247,0.7667111582838131,1.142654970972719,0.0004176376784600644,2.579781312160586,0.187059572329123,0.18705957261531928,0.13203043139371665,0.2706268622321773,3.736765299923718,1.0,0.9534579428017915,0.9505878673374385,0.6947535699910179,236.8822320732783,5815.912538181864,,,,,
16,6030.868416005565,0.5820095204575522,253.52782624981361,6089.451049948164,569.269594814708,0.681642118471835,0.682164210998641,1.1326250642043543,0.00012289529941002242,2.4519394956335065,0.187059572329123,0.18705957269307255,0.10919917259870444,0.2502743466424145,3.7660320000723004,1.0,0.9534579428017915,0.9505878673374385,0.5820095204575522,241.72811965915733,5788.558286825951,,,,,
17,6008.05036047722,0.7581767891087147,258.8316936514494,6059.941692357451,590.9241932263777,0.8179663489496518,0.8179663489496518,1.1382443253759258,0.0,3.7316564785526714,0.187059572329123,0.18705957270487397,0.09394900328177952,0.22134095838700063,3.793859199853614,1.0,0.9534579428017915,0.9505878673374385,0.7581767891087147,246.7851341608145,5760.507049527297,,,,,
18,5989.246516554721,0.672619184400225,264.3339148535249,6034.731584329158,605.7650664482168,0.7581007290160665,0.778566084933064,1.1354694053404057,0.001227635214214505,3.660381731617094,0.187059572329123,0.18705957239612714,0.07667381540855793,0.15951127386199246,3.821055799955502,1.0,0.9534579428017915,0.9505878673374385,0.672619184400225,252.03127066898577,5736.542626701335,,,,,
19,5962.395532057511,0.668756678206289,270.03352872508,6000.772110179574,631.09660456504,0.7477285712914675,0.7545164603925463,1.1327919109738283,0.0006448945028811118,3.5964746815513173,0.187059572329123,0.18705957243908836,0.06362473370766265,0.14984293272581733,3.8502585000824183,1.0,0.9534579428017915,0.9505878673374385,0.668756678206289,257.46561278572324,5704.2611625935815,,,,,
20,5650.861099005449,0.6745077177176418,275.8801581961624,5975.164081552178,612.5789146244374,0.7692692634543441,0.7840667191166013,1.1346397166940128,0.0039045927208589265,3.2398492881606598,0.187059572329123,0.18705957233449044,0.05300715990280442,0.10618926509073615,3.8864035999868065,1.0,0.9085118732953729,0.9036649233835372,0.6745077177176418,250.64039932781935,5399.546191959912,0.040979324142971764,0.7514102401808934,3.3786267466424906,0.054536552673419066,0.012128988259414851
21,5627.723019651751,0.6524649689907165,281.84308323866304,5943.5888548643725,632.1639936463454,0.7599591856421426,0.7599591856421426,1.085153277786365,0.0004906411406271349,3.708304467763202,0.187059572329123,0.18705957241548757,0.043864129932198515,0.09841205409388003,3.9190092999488115,1.0,0.9085118732953729,0.9036649233835372,0.6524649689907165,256.0577875285015,5371.012767154259,,,,,
