model_family,date,date_dt,n_runs,n_eligible,best_standardised_loss,median_standardised_loss,best_run,n_steps_tested,changes_from_previous_day,varied_within_day,mode_input_dir,mode_n_steps,mode_n_time,mode_n_eval,mode_lr,mode_lr_scheduler,mode_lr_min,mode_model_arch,mode_hidden_width,mode_hidden_layers,mode_fourier_num_features,mode_fourier_scale,mode_fourier_include_raw_input,mode_weight_factorization,mode_rwf_mu,mode_rwf_sigma,mode_rwf_apply_to,mode_rwf_base_init,mode_residual_form,mode_state_parameterization,mode_pde_penalty,mode_boundary_loss_form,mode_bc_penalty,mode_loss_weighting,mode_time_sampling,mode_causal_loss,mode_causal_curriculum,mode_causal_epsilon,mode_causal_n_chunks,mode_collocation_strategy,mode_lambda_pde,mode_lambda_ic,mode_lambda_bc,mode_lambda_timestep,mode_seed,cumulative_best_loss
Multispecies,2026-07-23,2026-07-23,3,3,0.0302938461129618,0.0436058395758203,20260723_191235_445308_job3640860_task0,3.0e+04,input data validation/fixtures/pde_multispecies_tmax30_3587985_5→validation/fixtures/rmax_recovery_3640857_2,"input data: validation/fixtures/rmax_recovery_3640857_0, validation/fixtures/rmax_recovery_3640857_1, validation/fixtures/rmax_recovery_3640857_2",validation/fixtures/rmax_recovery_3640857_2,30000.0,128.0,60.0,0.001,cosine,1e-05,fourier,384.0,5.0,32.0,0.5,True,rwf,1.0,0.1,all,xavier_uniform,scaled,log-u,squared,relative,squared,expert-grad-norm,stratified,expert,linear,1.0,64.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0057707846052791
Multispecies,2026-07-27,2026-07-27,1,1,0.0403074754054312,0.0403074754054312,20260727_183417_924110_job3736185_task2,3.0e+04,input data validation/fixtures/rmax_recovery_3640857_2→validation/fixtures/rmax_recovery_3736185_2,none,validation/fixtures/rmax_recovery_3736185_2,30000.0,128.0,60.0,0.001,cosine,1e-05,fourier,384.0,5.0,32.0,0.5,True,rwf,1.0,0.1,all,xavier_uniform,scaled,log-u,squared,relative,squared,expert-grad-norm,stratified,expert,linear,1.0,64.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0057707846052791
Single species,2026-05-07,2026-05-07,4,0,,,,2000,none,none,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,,
Single species,2026-05-11,2026-05-11,2,0,,,,2000,none,none,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,,
Single species,2026-05-12,2026-05-12,2,0,,,,2000,none,none,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,,
Single species,2026-05-13,2026-05-13,2,0,,,,2000,none,none,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,,
Single species,2026-05-14,2026-05-14,4,0,,,,"2000, 8000",steps 2000→8000,"steps: 2000, 8000; n_time: 10, 16; n_eval: 30, 80; LR: 0.001, 2.0e-04",py_inputs_ns_first_species,8000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,,,,,,,,,,
Single species,2026-05-15,2026-05-15,8,0,,,,"2000, 3000, 5000, 8000",steps 8000→5000; n_time 10→24; LR 0.001→1.0e-04,"steps: 2000, 3000, 5000, 8000; n_time: 10, 16, 24; LR: 0.001, 1.0e-04, 3.0e-04, 3.0e-05; lambda BC: 0, 1.0e-05",py_inputs_ns_first_species,5000.0,24.0,30.0,0.0001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,,1.0,1.0,0.0,,,
Single species,2026-05-19,2026-05-19,2,0,,,,12,input data py_inputs_ns_first_species→validation/fixtures/pde_single_species; steps 5000→12; n_time 24→10; LR 1.0e-04→0.001,none,validation/fixtures/pde_single_species,12.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,,1.0,1.0,0.0,,,
Single species,2026-05-20,2026-05-20,6,0,,,,2000,steps 12→2000,"n_time: 10, 20; curriculum: linear, step",validation/fixtures/pde_single_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,,1.0,1.0,0.0,1.0,,
Single species,2026-05-21,2026-05-21,6,0,,,,"1, 2000",residual log→physical; lambda BC 0→1; lambda timestep 1→0,"steps: 1, 2000; n_time: 10, 24; n_eval: 30, 40; residual: log, physical; BC loss: log, physical; curriculum: linear, step; +2 more",validation/fixtures/pde_single_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,physical,,,log,,,,,linear,,,,1.0,1.0,1.0,0.0,,
Single species,2026-05-28,2026-05-28,4,1,1523.3656462976878,1523.3656462976878,20260528_111630,"2.0e+04, 2000",residual physical→log; lambda BC 1→0,"steps: 2.0e+04, 2000; n_time: 10, 20; LR: 0.001, 3.0e-04; curriculum: linear, step; lambda BC: 0, 1; lambda timestep: 0, 1",validation/fixtures/pde_single_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,,1.0,1.0,0.0,0.0,,1523.3656462976878
Single species,2026-05-29,2026-05-29,8,0,,,,"2000, 3, 3000, 5000",none,"steps: 2000, 3, 3000, 5000; n_time: 10, 20; n_eval: 30, 80; LR: 0.001, 3.0e-04; curriculum: linear, off; collocation: causal-r3, r3, uniform; +3 more",validation/fixtures/pde_single_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,r3,1.0,1.0,0.0,0.0,,
Single species,2026-06-01,2026-06-01,12,1,7952.181451402286,7952.181451402286,20260601_100410,"100, 2.0e+04, 2000, 500",n_time 10→30; n_eval 30→50; LR 0.001→3.0e-04; curriculum linear→step; lambda BC 0→0.001,"steps: 100, 2.0e+04, 2000, 500; curriculum: off, step; collocation: causal-r3, r3; lambda BC: 0.001, 0.5; lambda timestep: 0, 1.0e-04",validation/fixtures/pde_single_species,2000.0,30.0,50.0,0.0003,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,step,,,r3,1.0,1.0,0.001,0.0,,1523.3656462976878
Single species,2026-06-02,2026-06-02,7,0,,,,"200, 400, 4000",steps 2000→4000; BC loss log→relative; collocation r3→causal-r3; lambda BC 0.001→0.5,"steps: 200, 400, 4000; residual: log, physical; BC loss: physical, relative; lambda BC: 0, 0.5",validation/fixtures/pde_single_species,4000.0,30.0,50.0,0.0003,,,,64.0,3.0,,,,,,,,,log,,,relative,,,,,step,,,causal-r3,1.0,1.0,0.5,0.0,,
Single species,2026-06-03,2026-06-03,6,4,0.0518857039688326,0.6033721609819153,20260603_123133 - also best,"2, 2000, 4.0e+04",steps 4000→4.0e+04; n_time 30→10; n_eval 50→30; LR 3.0e-04→3.0e-05; curriculum step→linear; collocation causal-r3→uniform; +1 more,"steps: 2, 2000, 4.0e+04; LR: 0.001, 3.0e-04, 3.0e-05; collocation: causal-r3, r3, uniform; lambda timestep: 0, 0.3",validation/fixtures/pde_single_species,40000.0,10.0,30.0,3e-05,,,,64.0,3.0,,,,,,,,,log,,,relative,,,,,linear,,,uniform,1.0,1.0,1.0,0.0,,0.0518857039688326
Single species,2026-06-04,2026-06-04,6,6,0.0228063474496899,0.0234967444062184,20260604_132416,4.0e+04,n_time 10→20; LR 3.0e-05→3.0e-04; collocation uniform→r3,"n_time: 10, 20, 30; n_eval: 30, 60; curriculum: linear, off; collocation: causal-r3, r3; lambda timestep: 0, 1.0e-04",validation/fixtures/pde_single_species,40000.0,20.0,30.0,0.0003,,,,64.0,3.0,,,,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0228063474496899
Single species,2026-06-05,2026-06-05,11,5,0.0293231720830593,0.348109473797299,20260605_140023,"1.0e+04, 4.0e+04",n_time 20→10,"steps: 1.0e+04, 4.0e+04; curriculum: linear, off; collocation: causal-r3, r3",validation/fixtures/pde_single_species,40000.0,10.0,30.0,0.0003,,,,64.0,3.0,,,,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0228063474496899
Single species,2026-06-08,2026-06-08,7,7,0.0195118343986836,0.1169886505250512,20260608_174152,2.0e+04,steps 4.0e+04→2.0e+04; n_time 10→15; width 64→128; layers 3→5,"width: 128, 256, 64; layers: 128, 3, 4, 5",validation/fixtures/pde_single_species,20000.0,15.0,30.0,0.0003,,,,128.0,5.0,,,,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0195118343986836
Single species,2026-06-09,2026-06-09,8,8,0.0026042293230044,0.0495804686148595,20260609_154251,"2.0e+04, 5.0e+04",n_time 15→30; width 128→256,"steps: 2.0e+04, 5.0e+04; n_time: 10, 15, 30; LR: 0.003, 3.0e-04; minimum LR: 0, 3.0e-05; architecture: fourier, mlp; width: 128, 256, 64; +5 more",validation/fixtures/pde_single_species,20000.0,30.0,30.0,0.0003,cosine,0.0,mlp,256.0,5.0,64.0,1.0,True,,,,,,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0026042293230044
Single species,2026-06-10,2026-06-10,3,3,0.0065423999228698,0.0074140753169936,20260610_085310,2.0e+04,architecture mlp→fourier; Fourier features 64→32; Fourier scale 1→0.5,none,validation/fixtures/pde_single_species,20000.0,30.0,30.0,0.0003,,0.0,fourier,256.0,5.0,32.0,0.5,True,rwf,1.0,0.1,all,pytorch,log,,,relative,,,,,linear,,,r3,1.0,1.0,1.0,0.0,,0.0026042293230044
Single species,2026-06-11,2026-06-11,4,4,0.0024129951324079,0.0133121192065253,20260611_103257,"2.0e+04, 4.0e+04",steps 2.0e+04→4.0e+04; RWF initialisation pytorch→xavier_uniform,"steps: 2.0e+04, 4.0e+04; n_time: 30, 32; minimum LR: 0, 1.0e-06; Fourier features: 32, 64; Fourier scale: 0.5, 1; raw input: off, on; +4 more",validation/fixtures/pde_single_species,40000.0,30.0,30.0,0.0003,cosine,0.0,fourier,256.0,5.0,32.0,0.5,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,uniform,off,linear,1.0,32.0,r3,1.0,1.0,1.0,0.0,123.0,0.0024129951324079
Single species,2026-06-12,2026-06-12,2,2,0.004013363640295,0.0211072666929618,20260612_140602,4.0e+04,n_time 30→36; minimum LR 0→1.0e-06; Fourier features 32→64; Fourier scale 0.5→1; raw input on→off; time sampling uniform→stratified; +2 more,"Fourier features: 32, 64",validation/fixtures/pde_single_species,40000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,256.0,5.0,64.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0024129951324079
Single species,2026-06-15,2026-06-15,6,0,,,,"1.0e+04, 5000",steps 4.0e+04→5000; LR 3.0e-04→0.03; layers 5→4,"steps: 1.0e+04, 5000; LR: 0.003, 0.03, 3.0e-04; Fourier features: 32, 64",validation/fixtures/pde_single_species,5000.0,36.0,30.0,0.03,cosine,1e-06,fourier,256.0,4.0,64.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,
Single species,2026-06-16,2026-06-16,43,25,0.0010918561658378,0.001724019886792,20260616_131555_657166_job3036363_task8,"1.0e+04, 3.0e+04, 5, 8000",steps 5000→3.0e+04; LR 0.03→3.0e-04; layers 4→5; Fourier features 64→32,"steps: 1.0e+04, 3.0e+04, 5, 8000; n_time: 10, 36; LR: 0.001, 3.0e-04; minimum LR: 0, 1.0e-06; architecture: fourier, mlp; width: 128, 256, 384, 64; +11 more",validation/fixtures/pde_single_species,30000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,256.0,5.0,32.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
Single species,2026-06-17,2026-06-17,2,2,0.0170974567641284,0.0170974567641284,20260617_162319_376006_job3042892,7.5e+04,steps 3.0e+04→7.5e+04; width 256→324,none,validation/fixtures/pde_single_species,75000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,324.0,5.0,32.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
Single species,2026-06-18,2026-06-18,3,0,,,,1.0e+04,steps 7.5e+04→1.0e+04; width 324→384,"LR: 0.003, 3.0e-04; width: 256, 384; layers: 4, 5; Fourier features: 32, 64; causal loss: expert, off; collocation: fixed-grid, uniform",validation/fixtures/pde_single_species,10000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,32.0,1.0,False,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,
Single species,2026-06-19,2026-06-19,2,2,0.0145040523684948,0.0145040523684948,20260619_190111_738826_job3070869,1.5e+05,steps 1.0e+04→1.5e+05; n_time 36→128; n_eval 30→60; raw input off→on; causal epsilon 1→10; causal chunks 32→64,none,validation/fixtures/pde_single_species,150000.0,128.0,60.0,0.0003,cosine,1e-06,fourier,384.0,5.0,32.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,10.0,64.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
Single species,2026-06-22,2026-06-22,8,6,0.0113922586652529,0.0163354205175277,20260622_124154_193026_job3093744_task16,"1.3e+05, 1.5e+05",n_time 128→36; n_eval 60→30; Fourier features 32→16; causal epsilon 10→1; causal chunks 64→32,"steps: 1.3e+05, 1.5e+05; n_time: 128, 32, 36; n_eval: 30, 60; causal epsilon: 0.05, 1; causal chunks: 128, 32",validation/fixtures/pde_single_species,150000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,16.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
Single species,2026-06-23,2026-06-23,6,6,0.0020826123705886,0.0022304345258961,20260623_115925_577109_job3101351_task16,1.5e+05,none,"n_time: 32, 36; causal epsilon: 0.05, 1; causal chunks: 128, 32",validation/fixtures/pde_single_species,150000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,16.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.0010918561658378
Single species,2026-06-24,2026-06-24,6,6,0.001049271678203,0.0013246048669107,20260624_173838_345608_job3107266_task16,1.5e+05,none,"n_time: 32, 36; causal epsilon: 0.05, 1; causal chunks: 128, 32",validation/fixtures/pde_single_species,150000.0,36.0,30.0,0.0003,cosine,1e-06,fourier,384.0,5.0,16.0,1.0,True,rwf,1.0,0.1,all,xavier_uniform,log,,,relative,,expert-grad-norm,stratified,expert,linear,1.0,32.0,uniform,1.0,1.0,1.0,0.0,123.0,0.001049271678203
Single species,2026-06-25,2026-06-25,1,0,,,,,none,none,validation/fixtures/pde_single_species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
