step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc,loss_weighted,loss_unweighted,boundary_loss_form,bc_eps,frac_flux_left_clamped,frac_recruitment_flux_clamped,flux_left_min,recruitment_flux_min,boundary_residual_abs_p95,boundary_residual_abs_max,weight_update_hard_set,causal_fraction,t_max_current
1,19.483814325617423,0.8990907656084884,9.729011167182954,8855.712392825983,3.362218691166859,0.8528352154959925,0.8965042432684366,1.2082875373598478,7.48509764074215e-05,2.791269877201779,0.187059572329123,0.19067345343845385,1135006.4640860695,1270113.8450495554,8.503240500000175,1.0,1.0,0.001,0.8990907656084884,9.729011167182954,8.855712392825982,,,,,,19.483814325617423,8866.340494758773,log,1e-30,1.0,0.0,0.0,73894960119.63869,94.1055836187303,94.10562428036847,0.0,0.05,2.0
2,19.1241408484901,0.7111515698667368,9.570468653952704,8842.520624670662,3.2045081829626376,0.7168510995535657,0.76001806853386,1.1974872265890515,0.00016741107521254378,3.4374385788078587,0.187059572329123,0.19001003672488187,1140475.1642273404,1177924.7702712512,11.136194900000191,1.0,1.0,0.001,0.7111515698667368,9.570468653952704,8.842520624670662,,,,,,19.1241408484901,8852.802244894481,log,1e-30,1.0,0.0,0.0,68934102672.38416,94.03545528160737,94.03546795201535,0.0,0.050633333333333336,2.025333333333333
3,18.972664446233644,0.7239013268531933,9.4189564641054,8829.80665527505,3.161299622686105,0.7377100050444596,0.7427966436225808,1.1939287557054228,0.0005814736896231631,3.317331943329469,0.187059572329123,0.18869023421013004,1089783.3769725522,1146506.6729328055,11.187945499999842,1.0,1.0,0.001,0.7239013268531933,9.4189564641054,8.82980665527505,,,,,,18.972664446233644,8839.949513066009,log,1e-30,1.0,0.0,0.0,64419354640.5128,93.96777270566251,93.96780254397044,0.0,0.05126666666666667,2.050666666666667
4,18.76188945191735,0.671614265761525,9.273149706463114,8817.125479692713,3.143033668174628,0.7269504277374569,0.7478645210302002,1.1872748928160446,0.0,3.702085195199513,0.187059572329123,0.19034652930715207,1014950.886678119,1156887.8132062205,11.234286199998678,1.0,1.0,0.001,0.671614265761525,9.273149706463114,8.817125479692713,,,,,,18.76188945191735,8827.070243664937,log,1e-30,1.0,0.0,0.0,60223012234.0822,93.90027718081416,93.90056640893508,0.0,0.0519,2.076
5,18.842120403462843,0.9063762272548251,9.13098552710191,8804.758649106108,3.274326536028921,0.8662691314128621,0.9068643061916184,1.1802636619383238,0.00032612490427444407,3.649129701133649,0.187059572329123,0.18898299592599535,952776.8347679051,1156823.312317491,11.28394180000032,1.0,1.0,0.001,0.9063762272548251,9.13098552710191,8.804758649106109,,,,,,18.842120403462843,8814.796010860466,log,1e-30,1.0,0.0,0.0,56374011996.028984,93.83426252889309,93.83426971331583,0.0,0.052533333333333335,2.1013333333333333
6,18.5232095615334,0.7408867908489694,8.989772230914918,8792.550539769512,3.3655178826177217,0.821397147943883,0.821397147943883,1.1735129532957653,0.00015698394394358245,3.5874336319196356,0.187059572329123,0.18929225841741396,901019.590734894,1170430.0506994317,11.334418999998888,1.0,1.0,0.001,0.7408867908489694,8.989772230914918,8.792550539769513,,,,,,18.5232095615334,8802.281198791276,log,1e-30,1.0,0.0,0.0,52840698874.7831,93.76907739941578,93.76911308652106,0.0,0.05316666666666667,2.126666666666667
7,18.28383556238363,0.6561902271834462,8.84701335432441,8780.631980875774,3.4847871214630737,0.7050895744171031,0.7363085592936965,1.166054083803913,4.812174971047939e-05,3.2034831027071116,0.187059572329123,0.18947453447603665,816567.1907084166,1190147.5106360384,11.3899521000003,1.0,1.0,0.001,0.6561902271834462,8.84701335432441,8.780631980875775,,,,,,18.28383556238363,8790.135184457282,log,1e-30,1.0,0.0,0.0,49595968183.7133,93.7052453696005,93.70525905498428,0.0,0.0538,2.152
8,18.015803608313664,0.5464920068122107,8.700396541272728,8768.915060228726,3.6977285951328835,0.6042056020663028,0.6363648231041501,1.1555206481997742,0.00016475792461460165,3.702469514733742,0.187059572329123,0.1889865587106452,759916.7446076394,1205693.874554183,11.444082399999388,1.0,1.0,0.001,0.5464920068122107,8.700396541272728,8.768915060228727,,,,,,18.015803608313664,8778.161948776811,log,1e-30,1.0,0.0,0.0,46599765019.675934,93.64258809852328,93.64260281784095,0.0,0.054433333333333334,2.1773333333333333
9,18.05396396240019,0.74899990299921,8.547649916587835,8757.314142813146,3.9619219634652634,0.778094667523064,0.7924866201097456,1.1499852961001646,8.78238972319978e-05,3.4052846207133722,0.187059572329123,0.189059532876187,709335.338119198,1238796.7685500367,11.497018899999603,1.0,1.0,0.001,0.74899990299921,8.547649916587835,8.757314142813145,,,,,,18.05396396240019,8766.610792632733,log,1e-30,1.0,0.0,0.0,43796090455.33397,93.58064288994134,93.58067319308995,0.0,0.05506666666666667,2.2026666666666666
10,142.53947137620486,0.7251872417271322,8.386646691425721,8745.672926743502,11.897218850638925,0.731637849912815,0.7779566235265327,1.1429248238401606,0.0,3.6019501832505254,0.187059572329123,0.18926601952092198,683432.5467961873,1286853.5127095785,11.569276599999284,1.0,1.8916379873116158,0.014401382914935241,0.7251872417271322,15.864499467662172,125.94978466681556,0.04073541744283185,0.021534467861223688,2.828576789010059,1.8916379873116158,0.014401382914935241,142.53947137620486,8754.784760676655,log,1e-30,1.0,0.0,0.0,41144202885.86599,93.51876965554455,93.51877602774259,1.0,0.0557,2.2279999999999998
