value
78980129040268.78
3166336793583825.0
135929610432944.16
137432579054895.6
2646066155898.198
42220179344422.28
10825175345069.58
1306449493049.3162
35584844325765.445
31274029363515.504
130229534502351.75
48128613103297.055
