step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc,loss_weighted,loss_unweighted,boundary_loss_form,bc_eps,frac_flux_left_clamped,frac_recruitment_flux_clamped,flux_left_min,recruitment_flux_min,boundary_residual_abs_p95,boundary_residual_abs_max,weight_update_hard_set,causal_fraction,t_max_current
1,10.300141601805462,0.8036880495695445,9.496453552235918,0.0,2.736747661945787,0.8463175271548989,0.8463175271548989,1.195125863734252,6.780855635634547e-05,3.7294054601969795,0.187059572329123,0.18969848266864575,919356.899840116,948859.7353985258,1.3964791999896988,1.0,1.0,0.001,0.8036880495695445,9.496453552235918,0.0,,,,,,10.300141601805462,10.300141601805462,log,1e-30,,,,,,,0.0,0.05,2.0
2,10.06122173836853,0.7107740192722908,9.35044771909624,0.0,2.7445977799960866,0.7473114799021977,0.7627035240298188,1.1809214725201178,0.00010436628144273874,3.5306772374786557,0.187059572329123,0.18951695056261694,900691.07562138,1000781.3297630898,1.8241128999507055,1.0,1.0,0.001,0.7107740192722908,9.35044771909624,0.0,,,,,,10.06122173836853,10.06122173836853,log,1e-30,,,,,,,0.0,0.050633333333333336,2.025333333333333
3,9.966786933355596,0.7631049341035159,9.20368199925208,0.0,2.8532080151630317,0.7973977002582568,0.8132200059975234,1.1814973443563916,0.0016258546855347639,2.9122377466182012,0.187059572329123,0.18750284149358337,883216.8958919753,1037584.1441490146,2.1040060999803245,1.0,1.0,0.001,0.7631049341035159,9.20368199925208,0.0,,,,,,9.966786933355596,9.966786933355596,log,1e-30,,,,,,,0.0,0.05126666666666667,2.050666666666667
4,9.791570654358875,0.7366334857506596,9.054937168608214,0.0,2.9571540068085227,0.7930747594468941,0.7930747594468941,1.1758710190131665,0.00045152337441654866,3.5190436360896897,0.187059572329123,0.18855903395953189,856458.7504564532,1105334.832234219,2.3983061999897473,1.0,1.0,0.001,0.7366334857506596,9.054937168608214,0.0,,,,,,9.791570654358875,9.791570654358875,log,1e-30,,,,,,,0.0,0.0519,2.076
5,9.756060058359155,0.8533489192410783,8.902711139118077,0.0,3.122298117637049,0.8974894943702005,0.8974894943702005,1.168969574850584,7.521630874269408e-06,2.8793935631916314,0.187059572329123,0.1896686379532207,872100.2069000521,1181039.8618985529,2.68536539998604,1.0,1.0,0.001,0.8533489192410783,8.902711139118077,0.0,,,,,,9.756060058359155,9.756060058359155,log,1e-30,,,,,,,0.0,0.052533333333333335,2.1013333333333333
6,9.457134768899778,0.7116643688685804,8.745470400031197,0.0,3.3097022234449693,0.7443830590303725,0.7584540452874025,1.1619401580789617,0.0001912537965427369,3.3956634846899445,0.187059572329123,0.18903427796761957,810939.7145017686,1238880.6280495562,2.9619267999660224,1.0,1.0,0.001,0.7116643688685804,8.745470400031197,0.0,,,,,,9.457134768899778,9.457134768899778,log,1e-30,,,,,,,0.0,0.05316666666666667,2.126666666666667
7,9.216454097293635,0.6346498849884726,8.581804212305162,0.0,3.5168468246771463,0.7214558182970843,0.7351103042779842,1.1523680287617606,0.00030326894040728913,3.569627668441147,0.187059572329123,0.1887116724730411,794581.830992859,1303480.260980235,3.258021099958569,1.0,1.0,0.001,0.6346498849884726,8.581804212305162,0.0,,,,,,9.216454097293635,9.216454097293635,log,1e-30,,,,,,,0.0,0.0538,2.152
8,9.241314276535542,0.8309060498726087,8.410408226662934,0.0,3.850736350123197,0.8720004927020294,0.8720004927020294,1.1429052166726077,0.00025275513870666455,3.105061052616027,0.187059572329123,0.18875856101079677,754628.2184981852,1382395.2924286593,3.5346168999676593,1.0,1.0,0.001,0.8309060498726087,8.410408226662934,0.0,,,,,,9.241314276535542,9.241314276535542,log,1e-30,,,,,,,0.0,0.054433333333333334,2.1773333333333333
9,8.957422423365054,0.727478870672343,8.229943552692712,0.0,4.088782778049612,0.8140978125551749,0.8140978125551749,1.1357590219330662,6.787830255030464e-05,2.889437822853224,0.187059572329123,0.18914541725510756,738026.0483426172,1483477.2378920014,3.806469599949196,1.0,1.0,0.001,0.727478870672343,8.229943552692712,0.0,,,,,,8.957422423365054,8.957422423365054,log,1e-30,,,,,,,0.0,0.05506666666666667,2.2026666666666666
10,22.042198437573347,0.6825832807897708,8.039198703248484,0.0,11.105092199603968,0.7370635995438903,0.762108659351378,1.1299595673258112,6.432386255366546e-05,3.6632799829411833,0.187059572329123,0.18905710991882196,696922.1978473392,1576855.202167551,4.102733299951069,1.0,2.656933351846692,0.001,0.6825832807897708,21.359615156783576,0.0,0.06193854949426535,0.023312044862252634,,2.656933351846692,,22.042198437573347,8.721781984038255,log,1e-30,,,,,,,1.0,0.0557,2.2279999999999998
11,21.52963805209845,0.6744058766221125,7.84936218327832,0.0,11.858175780675616,0.7312904946289432,0.7601605065462947,1.121410704938296,0.00038157893733444664,3.686670192292551,0.187059572329123,0.1883147485114776,701792.1922486448,1632545.8931379064,4.388346899999306,1.0,2.656933351846692,0.001,0.6744058766221125,20.855232175476335,0.0,,,,,,21.52963805209845,8.523768059900432,log,1e-30,,,,,,,0.0,0.05633333333333333,2.2533333333333334
12,20.989592872123364,0.673654853123604,7.646386012987205,0.0,12.661589166446706,0.7655993015795828,0.7655993015795828,1.110086958347865,0.0015319041541050626,2.434611023170356,0.187059572329123,0.18740121521922826,612171.204788029,1625847.8302162301,4.754265099996701,1.0,2.656933351846692,0.001,0.673654853123604,20.31593801899976,0.0,,,,,,20.989592872123364,8.320040866110809,log,1e-30,,,,,,,0.0,0.056966666666666665,2.2786666666666666
