t_eval,flux_left,recruitment_flux,flux_mismatch
0.0,0.0,32154863322.57845,-32154863322.57845
0.6666666666666666,0.0,32165171930.436256,-32165171930.436256
1.3333333333333333,0.0,32176948571.70631,-32176948571.70631
2.0,0.0,32190196192.090843,-32190196192.090843
2.6666666666666665,0.0,32204917234.86064,-32204917234.86064
3.333333333333333,0.0,32221113644.53975,-32221113644.53975
4.0,0.0,32238786870.98848,-32238786870.98848
4.666666666666666,0.0,32257937873.87174,-32257937873.87174
5.333333333333333,0.0,32278567127.49875,-32278567127.49875
6.0,0.0,32300674626.020123,-32300674626.020123
6.666666666666666,0.0,32324259888.96694,-32324259888.96694
7.333333333333333,0.0,32349321967.11677,-32349321967.11677
8.0,0.0,32375859448.670166,-32375859448.670166
8.666666666666666,0.0,32403870465.721302,-32403870465.721302
9.333333333333332,0.0,32433352701.005356,-32433352701.005356
10.0,0.0,32464303394.90495,-32464303394.90495
10.666666666666666,0.0,32496719352.697926,-32496719352.697926
11.333333333333332,0.0,32530596952.026943,-32530596952.026943
12.0,0.0,32565932150.572876,-32565932150.572876
12.666666666666666,0.0,32602720493.911633,-32602720493.911633
13.333333333333332,0.0,32640957123.535046,-32640957123.535046
14.0,0.0,32680636785.01577,-32680636785.01577
14.666666666666666,0.0,32721753836.295334,-32721753836.295334
15.333333333333332,0.0,32764302256.07513,-32764302256.07513
16.0,0.0,32808275652.289047,-32808275652.289047
16.666666666666664,0.0,32853667270.63751,-32853667270.63751
17.333333333333332,0.0,32900470003.161015,-32900470003.161015
18.0,0.0,32948676396.832672,-32948676396.832672
18.666666666666664,0.0,32998278662.148792,-32998278662.148792
19.333333333333332,0.0,33049268681.696335,-33049268681.696335
20.0,0.0,33101638018.676685,-33101638018.676685
20.666666666666668,0.0,33155377925.365536,-33155377925.365536
21.333333333333336,0.0,33210479351.488247,-33210479351.488247
22.0,0.0,33266932952.4916,-33266932952.4916
22.666666666666668,0.0,33324729097.692013,-33324729097.692013
23.333333333333336,0.0,33383857878.282005,-33383857878.282005
24.0,0.0,33444309115.176544,-33444309115.176544
24.666666666666668,0.0,33506072366.681923,-33506072366.681923
25.333333333333336,0.0,33569136935.970306,-33569136935.970306
26.0,0.0,33633491878.34425,-33633491878.34425
26.666666666666668,0.0,33699126008.276226,-33699126008.276226
27.333333333333336,0.0,33766027906.20887,-33766027906.20887
28.0,0.0,33834185925.10337,-33834185925.10337
28.666666666666668,0.0,33903588196.723347,-33903588196.723347
29.333333333333336,0.0,33974222637.64461,-33974222637.64461
30.0,0.0,34046076954.97998,-34046076954.97998
30.666666666666668,0.0,34119138651.81159,-34119138651.81159
31.333333333333336,0.0,34193395032.323612,-34193395032.323612
32.0,0.0,34268833206.629498,-34268833206.629498
32.666666666666664,0.0,34345440095.28956,-34345440095.28956
33.333333333333336,0.0,34423202433.51636,-34423202433.51636
34.0,0.0,34502106775.06584,-34502106775.06584
34.666666666666664,0.0,34582139495.81509,-34582139495.81509
35.333333333333336,0.0,34663286797.02772,-34663286797.02772
36.0,0.0,34745534708.31042,-34745534708.31042
36.666666666666664,0.0,34828869090.26503,-34828869090.26503
37.333333333333336,0.0,34913275636.84233,-34913275636.84233
38.0,0.0,34998739877.405205,-34998739877.405205
38.666666666666664,0.0,35085247178.510796,-35085247178.510796
39.333333333333336,0.0,35172782745.421455,-35172782745.421455
40.0,0.0,35261331623.3574,-35261331623.3574
